;-0,1213971;0,7259577;2,943339;-0,08482907;0,1246763;2,892385;-0,08624107;0,1846026;2,952578;-0,1040986;0,5453884;2,958144;-0,2763172;0,406112;2,948638;-0,2917328;0,136734;2,905167;-0,3011521;-0,08675671;2,810097;-0,2921023;-0,1989786;2,766489;0,0834289;0,4855329;2,952906;0,3411956;0,5949937;2,944504;0,5743117;0,6956059;2,944491;0,6622775;0,7483991;2,941749;-0,1616444;0,03521884;2,879239;-0,1615344;-0,4943321;2,900221;-0,1811994;-0,8660882;2,880838;-0,1951752;-0,9233322;2,840565;-0,0009324391;0,05177556;2,873957;0,01613355;-0,494339;2,903119;0,04874288;-0,8468434;2,904613;0,06347174;-0,902018;2,846317; 
-0,107989;0,7194045;3,034918;-0,07772791;0,151862;2,937908;-0,07823183;0,2044009;3,003303;-0,09375224;0,5546837;3,04296;-0,2523286;0,4703985;3,005128;-0,2694091;0,6435816;2,72267;-0,2860086;0,8213509;2,482534;-0,2902366;0,8903606;2,427436;0,0534513;0,4863372;2,996642;0,06106561;0,6445794;2,72185;0,07688165;0,8304418;2,488044;0,07352211;0,8582271;2,462443;-0,1469932;0,08455105;2,918976;-0,1596906;-0,489852;2,900917;-0,1805423;-0,865979;2,878854;-0,1956069;-0,9268765;2,836861;-0,003389194;0,08640318;2,917524;0,02050401;-0,4890261;2,912992;0,04972463;-0,8455621;2,904978;0,06498109;-0,9022717;2,845054; 
-0,1074805;0,7193106;3,03368;-0,07771453;0,1518473;2,937814;-0,07864358;0,2049471;3,003146;-0,09556893;0,5567896;3,039026;-0,2523437;0,4705953;3,00523;-0,2693782;0,6438095;2,722582;-0,286203;0,8212444;2,482437;-0,288517;0,8580296;2,453245;0,0512295;0,4856707;2,998634;0,06130806;0,6444609;2,72178;0,07682329;0,8305434;2,487631;0,07331078;0,8583327;2,461769;-0,146794;0,08463026;2,919179;-0,1594841;-0,4894944;2,900766;-0,1802216;-0,8660851;2,879256;-0,1950925;-0,9250587;2,839866;-0,003379609;0,08647078;2,91744;0,02059051;-0,4889043;2,912981;0,04954036;-0,8458093;2,904979;0,06491569;-0,9029123;2,844618; 
-0,1077678;0,7191426;3,033774;-0,07764325;0,1518395;2,937726;-0,0786687;0,2048895;3,003009;-0,09491868;0,5564004;3,038981;-0,2521674;0,4704631;3,005217;-0,2694042;0,6438582;2,721984;-0,2874078;0,8131696;2,492211;-0,2888917;0,8576669;2,45342;0,0506815;0,4859576;2,999585;0,06161695;0,6447524;2,721203;0,0770025;0,8200021;2,494795;0,07206669;0,8566146;2,456794;-0,1467361;0,08463697;2,919139;-0,1593109;-0,4891082;2,900805;-0,1806893;-0,8653117;2,879184;-0,1971451;-0,92515;2,839898;-0,003299671;0,08670254;2,917362;0,02047672;-0,48877;2,91298;0,04896891;-0,8456709;2,904822;0,06406862;-0,9021396;2,846726; 
-0,1085773;0,7186917;3,032182;-0,07718192;0,152185;2,937687;-0,07826655;0,2051093;3,002871;-0,09514432;0,5562509;3,038656;-0,2520196;0,4705218;3,00522;-0,269475;0,6442286;2,719702;-0,2885189;0,810151;2,493953;-0,2889534;0,857421;2,453268;0,05279696;0,4851608;2,998269;0,06201311;0,6451749;2,720761;0,07700156;0,8219993;2,489271;0,07188159;0,8561161;2,455611;-0,1463973;0,08485833;2,919014;-0,1593682;-0,489202;2,900784;-0,1807727;-0,8654309;2,8791;-0,1962994;-0,9249403;2,840822;-0,002010022;0,0870987;2,917708;0,02054087;-0,4884632;2,912935;0,04805544;-0,8469756;2,905081;0,06388773;-0,9022486;2,84703; 
-0,1081968;0,7181445;3,031962;-0,07635277;0,1515978;2,937186;-0,07720745;0,2044927;3,002272;-0,09418787;0,5555007;3,03822;-0,2525007;0,4692275;3,005512;-0,2697364;0,6437789;2,719738;-0,2896062;0,8068821;2,495111;-0,2894112;0,8558181;2,452737;0,05177519;0,485083;2,997702;0,06313973;0,6441891;2,719736;0,07678302;0,822931;2,483773;0,07242029;0,8565925;2,453244;-0,1456929;0,08436497;2,918793;-0,1593271;-0,4895521;2,900741;-0,1810546;-0,8661993;2,878099;-0,2064909;-0,9294631;2,819495;-0,001248697;0,08679929;2,917171;0,02075972;-0,4880455;2,912899;0,04786889;-0,8475663;2,904911;0,06440788;-0,9027345;2,846524; 
-0,1085073;0,7174435;3,032098;-0,07644305;0,1517003;2,937097;-0,07694828;0,2045713;3,002146;-0,09307873;0,5546139;3,037559;-0,2515929;0,469312;3,0051;-0,2698745;0,6427096;2,719758;-0,2900957;0,8044927;2,494935;-0,2906227;0,8539096;2,449419;0,05529086;0,4856546;2,995639;0,06459147;0,6443405;2,716818;0,07865237;0,8126043;2,491357;0,0754924;0,8520973;2,453212;-0,1462721;0,08452805;2,919015;-0,1593701;-0,4894915;2,900711;-0,1810626;-0,8661913;2,878103;-0,2058613;-0,9268318;2,823848;-0,00130497;0,08678786;2,916845;0,02060796;-0,4881394;2,912889;0,04862409;-0,8474557;2,904401;0,06541353;-0,9043404;2,844898; 
-0,1080552;0,7177209;3,029777;-0,0767952;0,1515639;2,936923;-0,07694546;0,2043403;3,001931;-0,09311735;0,5538891;3,037656;-0,2516305;0,4692374;3,004928;-0,2706282;0,6417502;2,71566;-0,2919155;0,7992021;2,495042;-0,2914448;0,852271;2,44738;0,0554904;0,484762;2,993505;0,06540572;0,6435914;2,715744;0,08240463;0,8154579;2,481602;0,07947038;0,8466834;2,452543;-0,1471144;0,08430676;2,919153;-0,1596216;-0,4904895;2,900876;-0,1809101;-0,8671038;2,878162;-0,2014366;-0,9264165;2,828373;-0,001627871;0,08643051;2,916132;0,02085748;-0,4877266;2,912972;0,04923474;-0,8470173;2,904602;0,06378923;-0,9037715;2,846998; 
-0,1071328;0,7179108;3,029436;-0,07683359;0,1516501;2,936677;-0,07708667;0,20459;3,001543;-0,09368359;0,5543631;3,036562;-0,2503256;0,4677103;3,003317;-0,272183;0,6397914;2,71699;-0,2934085;0,7950624;2,496529;-0,2918333;0,8493224;2,44589;0,05753547;0,4851527;2,992667;0,06697011;0,6417746;2,710864;0,08325117;0,8092066;2,484294;0,08298181;0,8443901;2,451458;-0,1471984;0,08423922;2,919023;-0,1596484;-0,4894153;2,900424;-0,1807304;-0,8669605;2,878366;-0,2001654;-0,9254658;2,832311;-0,001468671;0,08650883;2,915846;0,02078613;-0,4881737;2,912979;0,04933313;-0,8469651;2,904581;0,06392848;-0,9036632;2,846559; 
-0,1068347;0,7186333;3,028579;-0,07703964;0,1498438;2,935502;-0,07731438;0,2028617;3,00046;-0,09180769;0,5531732;3,036316;-0,2482016;0,4677893;3,001022;-0,2739614;0,6399936;2,713348;-0,298575;0,7854471;2,49957;-0,2947918;0,8437297;2,441573;0,0564185;0,4834894;2,992212;0,06978619;0,6395667;2,706088;0,08978755;0,7848026;2,501511;0,0887972;0,8399458;2,449688;-0,147427;0,08322092;2,918651;-0,1597916;-0,4902282;2,900674;-0,1807513;-0,8671001;2,878445;-0,2002778;-0,9255725;2,832553;-0,002095675;0,08550344;2,914381;0,02067194;-0,4886398;2,912993;0,04924783;-0,8458223;2,904866;0,06114647;-0,902853;2,848706; 
-0,1051747;0,7197682;3,027708;-0,07710498;0,1493269;2,93505;-0,07733475;0,2024048;3,00001;-0,09146389;0,5530913;3,036185;-0,2467965;0,4679311;3,0009;-0,2773221;0,6386591;2,709093;-0,3017347;0,7809963;2,497409;-0,2995815;0,8405758;2,437864;0,05642916;0,4825481;2,992105;0,07681911;0,6071798;2,726658;0,09291589;0,7754735;2,502838;0,0939967;0,8312033;2,444336;-0,1474499;0,08304378;2,918399;-0,1596851;-0,4905114;2,900547;-0,1811773;-0,8671213;2,878915;-0,2000013;-0,9256324;2,832936;-0,002336421;0,08507722;2,913968;0,02083876;-0,4885801;2,913007;0,04928574;-0,8458036;2,904858;0,06113627;-0,9026424;2,848952; 
