;0,297305;0,7344954;2,804719;0,2671229;0,1376887;2,742445;0,2692424;0,1953749;2,803124;0,2706518;0,557529;2,81882;0,1104085;0,4157838;2,806874;0,03325087;0,1558072;2,806316;0,04364791;-0,04758912;2,733252;0,02954313;-0,1468871;2,710625;0,4566172;0,5027857;2,815636;0,5718832;0,6878864;2,789214;0,4355375;0,8489241;2,754194;0,4167255;0,9212317;2,740309;0,1864527;0,05417073;2,733813;0,1560696;-0,4947549;2,764661;0,1526513;-0,8598053;2,737662;0,1209293;-0,9174523;2,650657;0,3477316;0,06052189;2,715039;0,389527;-0,4890914;2,72286;0,4061786;-0,8497541;2,706643;0,4087459;-0,9138258;2,61598; 
0,2763049;0,726575;2,804679;0,255289;0,161959;2,740587;0,259059;0,215391;2,802116;0,260769;0,5587428;2,827225;0,08003468;0,4975685;2,833;-0,06542218;0,6759302;2,787965;0,05677782;0,8434659;2,740434;0,09751116;0,8993111;2,729238;0,4506949;0,479591;2,807935;0,6027311;0,6653535;2,792206;0,4977148;0,8471051;2,770066;0,4767358;0,9195294;2,76381;0,1731787;0,08031586;2,727025;0,1558449;-0,4847559;2,758078;0,1490369;-0,8580427;2,735159;0,1219096;-0,9175516;2,650241;0,335153;0,08089755;2,713305;0,38967;-0,4790649;2,711946;0,4046429;-0,8452827;2,703532;0,4087528;-0,9105371;2,617078; 
0,2748545;0,7286476;2,805635;0,2553778;0,1619321;2,740307;0,2592035;0,215339;2,801918;0,2607884;0,5587321;2,82722;0,07986528;0,4972276;2,832996;-0,06560646;0,6757703;2,788073;0,05652512;0,8432533;2,740386;0,09723564;0,8990809;2,729136;0,4507558;0,4766181;2,806603;0,6030784;0,6654347;2,792671;0,4993588;0,8479111;2,771641;0,4784744;0,9202507;2,765165;0,1729868;0,08015819;2,726348;0,1558385;-0,4846669;2,757978;0,1490368;-0,8579956;2,735115;0,1217925;-0,917466;2,649942;0,3356178;0,080919;2,712879;0,3896028;-0,4790095;2,711869;0,4046799;-0,8452787;2,703486;0,4086885;-0,910481;2,617043; 
0,2742739;0,7298094;2,805552;0,2552184;0,1620744;2,74002;0,2590521;0,2154428;2,801678;0,2607684;0,5588304;2,827167;0,07980745;0,4971716;2,833071;-0,06572466;0,6756729;2,788072;0,05605256;0,8433379;2,74032;0,09664497;0,8992262;2,729047;0,4498734;0,4748602;2,806431;0,604271;0,6644798;2,794108;0,5010222;0,8469807;2,769308;0,4801625;0,9192196;2,762751;0,1723831;0,08076297;2,725684;0,1557704;-0,4846632;2,757929;0,1495301;-0,8585554;2,735257;0,121815;-0,9175793;2,649989;0,3355953;0,08097793;2,712715;0,3895493;-0,4789936;2,711803;0,4047164;-0,845381;2,703391;0,4086654;-0,9104756;2,617024; 
0,273021;0,734956;2,806053;0,2551604;0,1622046;2,739834;0,2589851;0,2157221;2,801487;0,2606941;0,5602599;2,826953;0,07969004;0,4970834;2,833001;-0,06621378;0,6758352;2,787994;0,05633825;0,8428802;2,740274;0,09718893;0,8985618;2,72901;0,4499427;0,4747803;2,806363;0,6043578;0,6644831;2,794412;0,5005959;0,846658;2,769963;0,473756;0,9163109;2,759413;0,1722213;0,08079562;2,725605;0,1557827;-0,4844967;2,757733;0,1491523;-0,8580838;2,735209;0,1219143;-0,9175587;2,649972;0,3356851;0,08113144;2,712328;0,3895168;-0,4788046;2,711725;0,4047508;-0,8454142;2,703063;0,4080402;-0,91005;2,615777; 
0,2724531;0,7319583;2,807123;0,2552526;0,1619846;2,739779;0,2588656;0,2155388;2,801451;0,2606935;0,5601568;2,82697;0,08149108;0,4952601;2,830996;-0,06786645;0,6744264;2,784871;0,05530892;0,8413585;2,739278;0,09636738;0,8970025;2,728722;0,4508677;0,4811716;2,807855;0,6045464;0,6642747;2,794694;0,5011085;0,8464974;2,769073;0,4719456;0,9145415;2,755321;0,1725377;0,08061536;2,72571;0,1557887;-0,4845115;2,757748;0,1492141;-0,8575252;2,735403;0,1219873;-0,917601;2,649823;0,3356711;0,08101793;2,712209;0,3894349;-0,4789105;2,711573;0,4047472;-0,8458663;2,702713;0,40786;-0,9100012;2,615626; 
0,2730001;0,7336918;2,806017;0,2552633;0,1619762;2,739775;0,2587796;0,215553;2,801444;0,2605462;0,5602521;2,826898;0,08111669;0,4944734;2,830505;-0,06838313;0,6733165;2,782587;0,05284386;0,841801;2,738136;0,09325286;0,8979626;2,727961;0,4527586;0,4821909;2,808348;0,6050524;0,6634236;2,795255;0,5014845;0,8453152;2,767046;0,4707432;0,9121955;2,751619;0,1725832;0,08044337;2,725821;0,1557607;-0,4844928;2,757723;0,1483414;-0,8562424;2,73585;0,1224093;-0,9170639;2,649871;0,3358319;0,08073855;2,71205;0,3892673;-0,4790307;2,711366;0,4051373;-0,8452635;2,702372;0,4074827;-0,9096769;2,615601; 
0,2734174;0,7321484;2,806066;0,2551886;0,1620684;2,739754;0,258626;0,2156352;2,801412;0,2603341;0,5601912;2,826791;0,0810255;0,4947227;2,830359;-0,06905638;0,6733826;2,781494;0,08490703;0,8682771;2,728049;0,1362282;0,933242;2,714875;0,4534543;0,4831352;2,808808;0,6050574;0,6634154;2,795237;0,5015154;0,8452025;2,766455;0,4702246;0,9115914;2,750453;0,1725299;0,08053434;2,725936;0,1556339;-0,4844455;2,757657;0,1484158;-0,855984;2,73535;0,1224224;-0,9170722;2,649647;0,3357229;0,0806821;2,711841;0,3892666;-0,4790401;2,711362;0,4050596;-0,8453061;2,702406;0,4075755;-0,9098846;2,614051; 
0,2739808;0,730865;2,806359;0,2551105;0,1606396;2,739081;0,2585652;0,2146287;2,800874;0,2602731;0,5602016;2,826689;0,08161506;0,4945433;2,829784;-0,06912686;0,6729743;2,780404;0,05145048;0,8407538;2,730716;0,09164293;0,8966803;2,718795;0,4518338;0,4778159;2,806742;0,6062556;0,6620725;2,796028;0,5020273;0,8433919;2,767017;0,4701117;0,9092739;2,750574;0,1727751;0,07982156;2,725555;0,1552812;-0,4838941;2,757106;0,1487494;-0,8551216;2,734803;0,1224282;-0,9168963;2,649819;0,3353343;0,07947068;2,7113;0,3890469;-0,4787132;2,711358;0,404864;-0,8452921;2,702576;0,4070775;-0,9100211;2,614464; 
0,2740735;0,7302707;2,806057;0,2551427;0,1605975;2,739043;0,2585942;0,2146796;2,800797;0,2600942;0,5600998;2,825731;0,08163574;0,4944142;2,829798;-0,0693827;0,6729043;2,779532;0,05128399;0,8408524;2,731224;0,09150623;0,8968351;2,719763;0,4526967;0,4754324;2,806147;0,6067708;0,6612428;2,796518;0,5022489;0,8422933;2,766936;0,4699008;0,9077661;2,750129;0,1728867;0,07970691;2,725571;0,1553402;-0,483809;2,757077;0,1489831;-0,8554415;2,734497;0,1224672;-0,9169866;2,649992;0,335383;0,07927195;2,711278;0,3888418;-0,4791621;2,711404;0,4042013;-0,8471418;2,702322;0,4067382;-0,9104258;2,613804; 
0,274315;0,7295321;2,805861;0,2551207;0,1603173;2,739003;0,2585704;0,2145097;2,800757;0,2601056;0,5601578;2,825732;0,08171013;0,4940479;2,829701;-0,06970461;0,6727385;2,779176;0,05125171;0,8405184;2,73131;0,09157048;0,896445;2,719995;0,4529081;0,4745556;2,805969;0,6068541;0,6613743;2,796588;0,5015089;0,8420055;2,768263;0,468823;0,9071483;2,751217;0,1729357;0,07934829;2,725511;0,1554513;-0,4843969;2,757379;0,1487782;-0,8556064;2,73425;0,1221151;-0,9170121;2,649656;0,3352583;0,0788893;2,711286;0,3885265;-0,4790261;2,711353;0,4044257;-0,8470801;2,702433;0,4065912;-0,9102855;2,614224; 
0,2737987;0,7289496;2,80602;0,2549762;0,1601128;2,738861;0,2585061;0,2143254;2,800588;0,2601472;0,5600885;2,825552;0,08166355;0,4943551;2,829629;-0,06982994;0,6728452;2,778765;0,05125007;0,8405662;2,73128;0,09161007;0,8964731;2,720092;0,4525378;0,4735677;2,805202;0,6068847;0,6613532;2,796567;0,5021107;0,8422542;2,768001;0,4692118;0,9071414;2,750784;0,1727647;0,07906941;2,725335;0,1554211;-0,4841636;2,75735;0,1486663;-0,8552628;2,733948;0,1220515;-0,916932;2,649568;0,3350453;0,07871939;2,711226;0,3885075;-0,4789962;2,711334;0,4048482;-0,8474064;2,702559;0,4064727;-0,9101722;2,613856; 
0,2737497;0,7302977;2,804875;0,2548526;0,1597535;2,738816;0,2583718;0,2140965;2,800548;0,2599118;0,560258;2,825586;0,08186406;0,4940618;2,829613;-0,07023105;0,6722291;2,77776;0,04969065;0,8408906;2,731053;0,08966455;0,8971111;2,720124;0,452946;0,4719829;2,804876;0,606948;0,6613347;2,796495;0,5022913;0,8422201;2,7674;0,469069;0,9067703;2,749917;0,1727135;0,07842754;2,725325;0,1554414;-0,4843116;2,757442;0,14883;-0,8557653;2,733913;0,1219569;-0,9171298;2,649603;0,3349275;0,07849288;2,711186;0,3885299;-0,4789604;2,711248;0,4048693;-0,8473973;2,702561;0,4065624;-0,9101833;2,613959
