HeadX;HeadY;HeadZ;HipCenterX;HipCenterY;HipCenterZ;SpineX;SpineY;SpineZ;ShoulderCenterX;ShoulderCenterY;ShoulderCenterZ;ShoulderLeftX;ShoulderLeftY;ShoulderLeftZ;ElbowLeftX;ElbowLeftY;ElbowLeftZ;WristLeftX;WristLeftY;WristLeftZ;HandLeftX;HandLeftY;HandLeftZ;ShoulderRightX;ShoulderRightY;ShoulderRightZ;ElbowRightX;ElbowRightY;ElbowRightZ;WristRightX;WristRightY;WristRightZ;HandRightX;HandRightY;HandRightZ;HipLeftX;HipLeftY;HipLeftZ;KneeLeftX;KneeLeftY;KneeLeftZ;AnkleLeftX;AnkleLeftY;AnkleLeftZ;FootLeftX;FootLeftY;FootLeftZ;HipRightX;HipRightY;HipRightZ;KneeRightX;KneeRightY;KneeRightZ;AnkleRightX;AnkleRightY;AnkleRightZ;FootRightX;FootRightY;FootRightZ;IDPOS
0,0808555;0,7438225;2,413131;0,05850686;0,08049519;2,383334;0,06267777;0,1523756;2,447696;0,07027502;0,5667264;2,459033;-0,1143577;0,4020593;2,478528;-0,1679495;0,165683;2,518452;-0,3148005;0,3669146;2,418473;-0,3614733;0,4233594;2,391565;0,2455817;0,3816887;2,458715;0,2930261;0,1686566;2,511862;0,2505612;-0,01659678;2,345387;0,2627007;-0,107838;2,373378;-0,02496897;0,003522258;2,375737;-0,04039774;-0,4899588;2,435296;-0,03485799;-0,8309492;2,401304;-0,06000345;-0,8888658;2,324055;0,1390333;0,000621374;2,362717;0,1713264;-0,4997677;2,400626;0,1692219;-0,8328143;2,384202;0,1709567;-0,8915002;2,304466;1;
0,08043651;0,7435763;2,413305;0,05905095;0,08038433;2,383469;0,06319462;0,1522218;2,447757;0,07001275;0,5664399;2,458395;-0,1156903;0,4004827;2,479048;-0,1679899;0,1656751;2,518501;-0,3148409;0,3669067;2,418519;-0,3613928;0,4232052;2,39168;0,2455793;0,3817234;2,458738;0,2928427;0,1683467;2,511926;0,2590438;-0,07528898;2,360381;0,2823341;-0,1263523;2,414298;-0,02432425;0,002753112;2,375975;-0,04034434;-0,4898;2,435496;-0,03482082;-0,8310418;2,401298;-0,06152263;-0,890691;2,324982;0,1401414;0,000158025;2,362806;0,171328;-0,4997617;2,400646;0,1692624;-0,8327103;2,384138;0,1705188;-0,8912178;2,305123;1;
0,08036511;0,7429846;2,413553;0,05918371;0,08053168;2,383916;0,06325505;0,152277;2,448016;0,07010163;0,5657997;2,457775;-0,115718;0,4024781;2,479093;-0,1680975;0,1656687;2,518577;-0,3149485;0,3669003;2,418594;-0,3613997;0,4230769;2,391813;0,2455999;0,3817367;2,458751;0,2932197;0,1683492;2,512206;0,2506419;-0,06711219;2,349262;0,2778148;-0,1116656;2,406771;-0,02437446;0,002769108;2,376543;-0,0401316;-0,4895679;2,43569;-0,03477928;-0,8306143;2,401246;-0,0614461;-0,8903437;2,324011;0,140344;4,02E-05;2,36327;0,1714381;-0,4991043;2,400614;0,1694216;-0,8324391;2,38438;0,1704145;-0,8910177;2,305243;1;
0,08034396;0,7427598;2,413675;0,05920205;0,08076524;2,38442;0,06322567;0,1524151;2,448325;0,06992713;0,5658082;2,457561;-0,1158562;0,4032302;2,478939;-0,1681137;0,1656617;2,518594;-0,3149647;0,3668933;2,418608;-0,3613165;0,4229498;2,391885;0,2455365;0,3816916;2,45869;0,2934715;0,1666995;2,513406;0,2486451;-0,01388393;2,34071;0,233703;-0,07407843;2,2882;-0,02438656;0,002829591;2,376778;-0,04021313;-0,4897168;2,435803;-0,0349731;-0,8303095;2,401617;-0,06059997;-0,8897127;2,323558;0,140361;0,000161011;2,364287;0,1714361;-0,4992518;2,400651;0,1695368;-0,8324192;2,38431;0,1703476;-0,8911185;2,305265;1;
0,08027229;0,7426308;2,413694;0,05943773;0,08062416;2,384449;0,06346252;0,1523034;2,448348;0,06956912;0,565894;2,457248;-0,1167009;0,4021653;2,479311;-0,1681297;0,1656169;2,518595;-0,3149807;0,3668485;2,418606;-0,3612374;0,4227901;2,391938;0,2454735;0,3814041;2,458628;0,293773;0,1648438;2,514323;0,248754;-0,06995086;2,351036;0,2750914;-0,117277;2,406235;-0,024032;0,002180212;2,376881;-0,04013581;-0,4905644;2,436111;-0,03492277;-0,8302441;2,401775;-0,05711036;-0,8876921;2,328559;0,1408641;-0,000160999;2,364195;0,1715106;-0,499155;2,400667;0,1696024;-0,8324474;2,384063;0,1696754;-0,890855;2,30529;1;
0,08027218;0,7425999;2,413494;0,05924991;0,08090878;2,38502;0,06312753;0,1525065;2,448774;0,06944323;0,5659801;2,457185;-0,1156135;0,4039702;2,478312;-0,1683153;0,165952;2,518765;-0,3151663;0,3671836;2,418774;-0,361395;0,4230912;2,392122;0,2456411;0,381452;2,458673;0,2910919;0,1515494;2,520739;0,2545757;-0,01970995;2,352676;0,2655437;-0,1103307;2,376229;-0,02424254;0,002428218;2,37736;-0,03985714;-0,4915266;2,436747;-0,03475823;-0,8306197;2,40175;-0,05746881;-0,8879247;2,327666;0,1405368;1,11E-05;2,365019;0,1714885;-0,4987513;2,400589;0,1698437;-0,8319025;2,384269;0,1699709;-0,8908027;2,305669;1;
0,08025584;0,742764;2,413131;0,05930154;0,08097369;2,385084;0,06323662;0,1525555;2,448815;0,06942929;0,5659071;2,456845;-0,1168818;0,4021452;2,478518;-0,1686904;0,1655245;2,518981;-0,3155414;0,3667561;2,418988;-0,3617359;0,4226223;2,392356;0,245416;0,3811561;2,458617;0,2915599;0,1554416;2,521132;0,2529186;-0,02121901;2,349836;0,2639379;-0,108449;2,372539;-0,0242383;0,002420731;2,377383;-0,03991464;-0,4913967;2,436851;-0,03473962;-0,8301018;2,401623;-0,0576521;-0,8878236;2,326836;0,1405958;3,12E-05;2,365115;0,1715036;-0,4997787;2,400534;0,1700955;-0,8317851;2,384336;0,1702711;-0,8909438;2,305353;1;
0,08041851;0,7424141;2,41277;0,05934581;0,08064461;2,385215;0,06312142;0,1522951;2,448936;0,06923467;0,5659807;2,45668;-0,1159476;0,4032423;2,47781;-0,1687876;0,1657443;2,518955;-0,3156387;0,3669759;2,418959;-0,3617966;0,422798;2,392348;0,2451507;0,3812703;2,458672;0,2872184;0,1669078;2,520001;0,2526818;-0,02122103;2,349806;0,2634496;-0,1069127;2,372277;-0,02407192;0,002176716;2,377559;-0,03997784;-0,4915729;2,436987;-0,03477651;-0,8302091;2,401639;-0,05901987;-0,8883184;2,325169;0,1405231;-0,000208233;2,365254;0,1715922;-0,4997261;2,400406;0,1702287;-0,831797;2,384281;0,1706672;-0,8906355;2,303923;1;
0,08067959;0,7421588;2,411932;0,05914428;0,08028366;2,385563;0,06259228;0,1519316;2,449244;0,0693671;0,5655675;2,4564;-0,1145425;0,4046931;2,476153;-0,1689852;0,1659011;2,518892;-0,3158363;0,3671327;2,418895;-0,3619477;0,4228985;2,39231;0,2449525;0,3815352;2,459548;0,2835914;0,1713541;2,520831;0,2517941;-0,01535701;2,351634;0,2627037;-0,09552148;2,374422;-0,02419358;0,002136601;2,377603;-0,0401079;-0,4916968;2,437292;-0,03522958;-0,8301286;2,401687;-0,05896493;-0,8881947;2,324846;0,1398652;-0,001003179;2,366626;0,1710604;-0,5004666;2,399988;0,1702837;-0,8317832;2,384232;0,1707314;-0,8907322;2,304197;1;
0,08267841;0,7402556;2,410012;0,05911508;0,07945395;2,386246;0,06251951;0,1511828;2,449891;0,06882016;0,5653184;2,456535;-0,1166033;0,4014107;2,476115;-0,1693012;0,1657615;2,518127;-0,3161522;0,3669931;2,418128;-0,3622157;0,422701;2,391571;0,2430599;0,3824045;2,459984;0,2821863;0,174879;2,525069;0,2524589;-0,0180508;2,353553;0,2616879;-0,09691064;2,374077;-0,02430089;0,001661167;2,377508;-0,04024873;-0,4916258;2,437499;-0,03517003;-0,8300945;2,40176;-0,05896021;-0,8881738;2,325021;0,1402276;-0,002420501;2,369118;0,170981;-0,5004059;2,399952;0,1701899;-0,8319075;2,384265;0,1702576;-0,8912394;2,305772;1;
