;0,4457108;0,7392362;2,697351;0,3884353;0,1312053;2,717091;0,4083629;0,1947462;2,765798;0,4473502;0,5519215;2,749852;0,2736188;0,4381639;2,785081;0,1866869;0,1787241;2,842087;0,1545319;0,4013517;2,775756;0,1599591;0,485585;2,756111;0,6226983;0,4211982;2,707736;0,8332366;0,4218341;2,649777;0,8234639;0,6683993;2,616175;0,7997832;0,7690597;2,605729;0,2944992;0,06645179;2,726393;-0,05455592;-0,1725468;2,623116;-0,09632985;-0,5746458;2,609707;-0,1652592;-0,6176313;2,599372;0,4598424;0,03801172;2,69083;0,3913786;-0,46094;2,665022;0,3678745;-0,8398902;2,682695;0,3552129;-0,9060908;2,614825; 
0,4427728;0,7399549;2,721531;0,3880627;0,1333442;2,727335;0,4086298;0,1959285;2,779537;0,4425386;0,5542604;2,765712;0,2708045;0,4403978;2,799353;0,1867708;0,1792607;2,846896;0,1546157;0,4018884;2,780658;0,1600206;0,4857764;2,761094;0,6173971;0,4252938;2,716125;0,8257716;0,4404786;2,652615;0,8200868;0,6681393;2,622991;0,7942409;0,7768264;2,62042;0,2956761;0,06717812;2,737168;-0,04964361;-0,1685183;2,619087;-0,09328572;-0,5653683;2,597351;-0,1633451;-0,6162521;2,583272;0,4600939;0,0419717;2,69836;0,3919324;-0,4620866;2,672786;0,3665061;-0,8429493;2,684842;0,3543828;-0,9076723;2,620038; 
0,4425266;0,7423373;2,721188;0,3871223;0,1337301;2,728477;0,4077183;0,196329;2,780843;0,4416217;0,5547091;2,766704;0,2704119;0,4410999;2,799892;0,1857855;0,1805617;2,84793;0,1536304;0,4031893;2,781696;0,159035;0,4870707;2,762134;0,6172274;0,4253029;2,716291;0,8259829;0,4357974;2,653558;0,8197502;0,6668726;2,62303;0,7938222;0,7769494;2,62031;0,2949347;0,06742316;2,738171;-0,04991823;-0,1685533;2,619506;-0,09370603;-0,5655719;2,597371;-0,1627622;-0,6172859;2,583411;0,4589515;0,04245254;2,699572;0,3913737;-0,4616237;2,673558;0,366935;-0,8429072;2,68463;0,3548584;-0,9071121;2,618942; 
0,4408405;0,7403132;2,722372;0,3866616;0,133627;2,729015;0,4071447;0,1961861;2,781555;0,4407622;0,5544289;2,76731;0,2701682;0,4412263;2,800218;0,1858654;0,1804422;2,84806;0,1537103;0,4030698;2,78183;0,1591144;0,4869446;2,762269;0,6149807;0,4268872;2,717816;0,8236009;0,4345309;2,653773;0,8197132;0,6667265;2,623097;0,7936293;0,7766737;2,620127;0,2947727;0,06746215;2,738552;-0,05015963;-0,1687219;2,620894;-0,09372945;-0,5655637;2,597368;-0,1627669;-0,6172951;2,583395;0,4582674;0,04257399;2,700263;0,391134;-0,4623841;2,673404;0,3670549;-0,8422623;2,684803;0,3548217;-0,9070999;2,618887; 
0,4399775;0,7393436;2,723648;0,3866464;0,1335632;2,729252;0,407177;0,1960106;2,781964;0,4403906;0,5541682;2,768159;0,2696777;0,4414476;2,800788;0,1852305;0,1804911;2,848527;0,1530755;0,4031187;2,782302;0,1584791;0,4869863;2,762743;0,6148401;0,4265553;2,717704;0,8234813;0,4324843;2,653672;0,8193191;0,666904;2,623108;0,7934105;0,7766151;2,620021;0,294809;0,06750573;2,738727;-0,05027756;-0,1688734;2,622315;-0,09462017;-0,5662158;2,597685;-0,1973855;-0,6036091;2,581573;0,4582593;0,04234273;2,700439;0,3904248;-0,4602433;2,67342;0,3667918;-0,8423609;2,684943;0,3545552;-0,9068102;2,618827; 
0,4383196;0,7391539;2,724103;0,3843512;0,1344212;2,731111;0,4050953;0,1967163;2,783657;0,438446;0,5538478;2,768822;0,268455;0,4415626;2,802179;0,1846655;0,1807892;2,849565;0,1525104;0,4034168;2,783344;0,1579136;0,4872774;2,763787;0,6141408;0,4264571;2,717987;0,8227202;0,432218;2,653777;0,8190824;0,6669937;2,623215;0,7931399;0,7767924;2,620037;0,2924553;0,0682395;2,741244;-0,05094683;-0,1697875;2,623305;-0,09454033;-0,5664441;2,597891;-0,1705725;-0,6220473;2,588986;0,4558995;0,04320002;2,701974;0,390015;-0,4599969;2,673605;0,3669564;-0,841789;2,684686;0,3544302;-0,9066306;2,617923; 
0,4373074;0,73904;2,724864;0,38443;0,1342717;2,731244;0,4052537;0,1965885;2,783803;0,438285;0,5537805;2,768904;0,2675371;0,4421486;2,803535;0,1846498;0,180766;2,849823;0,1524948;0,4033935;2,783606;0,1578975;0,4872474;2,76405;0,6136543;0,4264022;2,718278;0,821385;0,4442912;2,653335;0,8189921;0,6668698;2,623283;0,793108;0,7766622;2,619932;0,2926281;0,06814069;2,741343;-0,05103332;-0,1701467;2,625123;-0,09459405;-0,5667791;2,598353;-0,1705283;-0,6220858;2,588902;0,4560076;0,04293923;2,702183;0,3880452;-0,46294;2,674361;0,3653202;-0,8440785;2,684675;0,3544564;-0,907753;2,614184; 
0,4373943;0,7414336;2,724388;0,3832067;0,1344864;2,732693;0,4042115;0,1967925;2,785109;0,4376741;0,5536519;2,769601;0,2672186;0,4423964;2,804364;0,1842997;0,181255;2,849921;0,1521447;0,4038826;2,783708;0,1575471;0,487732;2,764153;0,6132975;0,4263541;2,718404;0,8209895;0,44424;2,653407;0,8176899;0,6659497;2,62398;0,7911565;0,7771102;2,619904;0,2914858;0,06863295;2,742696;-0,05132896;-0,1706288;2,62618;-0,09531786;-0,5676585;2,598662;-0,1973293;-0,605781;2,579306;0,4544329;0,04308451;2,703983;0,3880538;-0,4627612;2,674333;0,3649544;-0,8446229;2,684764;0,3544393;-0,907804;2,614112; 
0,4353953;0,739895;2,724792;0,3820447;0,1342888;2,733539;0,403054;0,1965358;2,786036;0,4365393;0,5533489;2,770789;0,2670267;0,4422282;2,804506;0,1843565;0,1810853;2,84981;0,1522014;0,4037129;2,783601;0,1576036;0,487559;2,764047;0,6117503;0,4269933;2,718839;0,8193271;0,445973;2,653885;0,817519;0,6659039;2,624281;0,791143;0,7776122;2,621296;0,2905984;0,06840499;2,743422;-0,05195317;-0,1711153;2,626882;-0,09578555;-0,5676553;2,598862;-0,1638999;-0,6263434;2,590006;0,4530361;0,04341512;2,704803;0,3877094;-0,4637704;2,674325;0,3647854;-0,8448021;2,684839;0,3543225;-0,9078208;2,613619; 
0,4349414;0,7397533;2,724669;0,3815241;0,1344886;2,73411;0,402599;0,1967035;2,786542;0,4358932;0,5532434;2,771128;0,2655677;0,4418717;2,805954;0,1843608;0,1810275;2,849983;0,1522058;0,4036551;2,783778;0,1576079;0,4875;2,764225;0,6108583;0,4271634;2,719557;0,8183436;0,446619;2,6545;0,8170715;0,6656212;2,624791;0,7902124;0,7787478;2,622015;0,289743;0,0684364;2,744636;-0,05197895;-0,1720528;2,627837;-0,09574457;-0,5680123;2,599424;-0,1987229;-0,6046106;2,58221;0,452795;0,04353784;2,704957;0,387035;-0,4612801;2,673884;0,3655265;-0,8436146;2,685082;0,3545268;-0,9065723;2,615993; 
0,433275;0,7387203;2,724403;0,3791984;0,1335579;2,735305;0,4009462;0,1959873;2,78749;0,4354829;0,5531281;2,771658;0,2641814;0,441938;2,807928;0,1844592;0,1814515;2,8506;0,1523042;0,4040791;2,784398;0,1577063;0,487924;2,764844;0,6086545;0,4260894;2,719583;0,8159298;0,4476488;2,654664;0,8166651;0,6653761;2,625466;0,7900578;0,7791539;2,622814;0,2877852;0,06800858;2,746032;-0,05297056;-0,1732096;2,628112;-0,09461801;-0,5710787;2,600015;-0,1978724;-0,6062999;2,581253;0,4491313;0,04212505;2,706031;0,3870816;-0,4636477;2,673962;0,3649396;-0,8442573;2,685496;0,3547814;-0,9063948;2,615469; 
