;0,440551;0,751312;2,712171;0,3593531;0,1417626;2,731398;0,378451;0,2054825;2,781241;0,4322601;0,564566;2,766918;0,2601351;0,4509661;2,787023;0,1599957;0,2104368;2,804983;0,05941882;0,02422276;2,717045;0,0327534;-0,05044759;2,691283;0,6100792;0,45378;2,734775;0,8222735;0,4515434;2,635023;0,9964993;0,4940556;2,486513;1,035798;0,4892315;2,471746;0,2644526;0,07928842;2,73904;-0,03811863;-0,2370493;2,752699;-0,3276352;-0,5417507;2,695954;-0,3880166;-0,6186736;2,635583;0,4275637;0,04745455;2,706171;0,3656355;-0,4556815;2,696796;0,3341157;-0,835453;2,696848;0,3181875;-0,8990334;2,642817; 
0,4516407;0,7546794;2,706006;0,3616481;0,1439662;2,727432;0,3803872;0,2084555;2,775368;0,4393729;0,5667254;2,758743;0,2654633;0,4532676;2,781562;0,1555595;0,2048736;2,790868;0,05583145;0,01811574;2,706372;0,02924213;-0,05639795;2,680644;0,6159724;0,452067;2,735394;0,8256264;0,4412476;2,627879;1,002721;0,4909235;2,487581;1,025821;0,481911;2,483928;0,2665779;0,08271565;2,734107;-0,03822165;-0,2457383;2,746204;-0,3242773;-0,5584792;2,680096;-0,382406;-0,6297359;2,610587;0,4284217;0,04827863;2,703296;0,3651919;-0,4607261;2,702063;0,3334083;-0,8335837;2,700469;0,3183674;-0,9009302;2,639322; 
0,452153;0,754047;2,706011;0,3616641;0,1439644;2,727403;0,380384;0,2084709;2,775247;0,4393962;0,5667816;2,758754;0,2653452;0,4530692;2,781366;0,1562211;0,2064381;2,790284;0,05604817;0,01899211;2,708369;0,03036754;-0,05382233;2,683238;0,6159624;0,452062;2,735301;0,8390229;0,4423153;2,619282;1,014653;0,495607;2,478462;1,026169;0,4815319;2,483493;0,2665859;0,08270387;2,734039;-0,0379004;-0,2461218;2,746766;-0,3243003;-0,5587196;2,680372;-0,3824275;-0,6298067;2,610625;0,4284588;0,04829048;2,703311;0,3655154;-0,4602703;2,702076;0,3338301;-0,8315373;2,700387;0,3183613;-0,8984889;2,641966; 
0,4524716;0,7547176;2,705835;0,3616533;0,143991;2,727371;0,380332;0,2085303;2,775118;0,4394211;0,566853;2,758648;0,2654482;0,4530432;2,781098;0,1565787;0,2072805;2,790199;0,0560345;0,01956981;2,709736;0,03091775;-0,05219896;2,68495;0,6163354;0,4519325;2,735276;0,8302195;0,4409544;2,624251;1,006955;0,4926871;2,48441;1,024926;0,4806236;2,483721;0,2664925;0,08281025;2,733879;-0,03760991;-0,2463189;2,747089;-0,3239754;-0,5591753;2,680869;-0,3822424;-0,6299376;2,610851;0,4284422;0,04830113;2,703417;0,3655216;-0,4602534;2,702078;0,3340361;-0,8317433;2,700203;0,3189218;-0,8979489;2,643653; 
0,4527104;0,7545446;2,705827;0,3617208;0,1438318;2,727293;0,3803247;0,2084937;2,774961;0,4395806;0,5671927;2,758489;0,265724;0,4528104;2,780474;0,1565249;0,2070512;2,7904;0,05636049;0,01862659;2,711591;0,03309496;-0,04962831;2,687974;0,6162303;0,4518056;2,735209;0,8273102;0,4402238;2,626728;1,003688;0,491483;2,486296;1,023464;0,4799177;2,482894;0,2665518;0,08273588;2,733798;-0,03740384;-0,2464615;2,747512;-0,3239901;-0,5592791;2,680885;-0,3821366;-0,6299363;2,610607;0,4284872;0,04823812;2,703428;0,3652238;-0,4597884;2,702277;0,334202;-0,8323612;2,701114;0,3178194;-0,8972265;2,646423; 
0,453539;0,753686;2,706679;0,3617084;0,1438313;2,727277;0,3803208;0,2085271;2,774826;0,4396299;0,5670449;2,758201;0,2656766;0,4530292;2,78057;0,1564466;0,2067284;2,790381;0,05624066;0,01841138;2,711517;0,03310325;-0,04961028;2,687985;0,6162702;0,4517642;2,735142;0,8262559;0,4401187;2,626904;1,003022;0,4911016;2,487005;1,02351;0,4782416;2,48251;0,2665055;0,08275691;2,733773;-0,03739238;-0,2472524;2,748555;-0,3244686;-0,559693;2,680918;-0,3822769;-0,6301817;2,610131;0,4284163;0,04818097;2,703554;0,3652545;-0,4602237;2,702561;0,3343036;-0,8323179;2,70094;0,3184938;-0,8968791;2,641754; 
0,4542741;0,7544072;2,706798;0,3617571;0,1439084;2,727305;0,3803588;0,2086275;2,774728;0,4395606;0,5671908;2,758162;0,2654124;0,4529419;2,780272;0,1561898;0,206501;2,790112;0,0588614;0,01630987;2,71125;0,03153146;-0,05959082;2,684999;0,6163476;0,451176;2,734628;0,8258579;0,4403907;2,627117;1,002655;0,4907497;2,487111;1,023379;0,4783554;2,482503;0,2665339;0,08280407;2,733763;-0,03692867;-0,247867;2,749781;-0,3224107;-0,561179;2,675889;-0,3830681;-0,6321909;2,608089;0,4285256;0,04822772;2,703733;0,3652139;-0,4599601;2,702744;0,3346034;-0,8325858;2,701042;0,3188365;-0,8969312;2,642781; 
0,4545652;0,7539257;2,707588;0,3618456;0,1439557;2,727306;0,3803624;0,208792;2,774518;0,4395099;0,5673424;2,757372;0,2656131;0,4529369;2,779814;0,1560399;0,206145;2,790081;0,0581592;0,01666392;2,711453;0,03197786;-0,05701327;2,685961;0,6163598;0,4511822;2,734611;0,8245895;0,4403649;2,627411;1,001676;0,4903336;2,487763;1,030841;0,4859306;2,474261;0,2666938;0,08292837;2,73376;-0,03614422;-0,2476538;2,750439;-0,3247768;-0,5583262;2,676537;-0,3823694;-0,6312914;2,608139;0,4287046;0,0483035;2,704041;0,3651794;-0,4607824;2,703508;0,3343674;-0,8329855;2,701222;0,318914;-0,8972733;2,642191; 
0,4550662;0,7526486;2,708603;0,3618572;0,1439576;2,727292;0,3803453;0,2088329;2,774353;0,4393663;0,5677626;2,75741;0,2666372;0,4536878;2,779601;0,1560985;0,2060674;2,78985;0,05646521;0,01745038;2,711639;0,03307808;-0,0509861;2,687934;0,6166167;0,4513195;2,734482;0,8243509;0,4398632;2,627527;1,000532;0,4901389;2,486873;1,030709;0,4845407;2,474268;0,2667866;0,08297252;2,733707;-0,03589186;-0,2481201;2,750802;-0,3251972;-0,558364;2,676464;-0,3814127;-0,6314067;2,607007;0,428722;0,04835006;2,70414;0,3658618;-0,4595899;2,703771;0,3343657;-0,8329856;2,701209;0,3189275;-0,8973578;2,642421; 
0,455515;0,7526923;2,709053;0,3618672;0,1439675;2,727262;0,3803625;0,2088937;2,774154;0,4396361;0,5679292;2,757253;0,2668108;0,4540061;2,779488;0,1560756;0,2060867;2,789812;0,05616533;0,01720379;2,713079;0,03382069;-0,04927203;2,689964;0,616631;0,4511653;2,734352;0,8241267;0,4414827;2,62675;1,001012;0,4896775;2,486396;1,025982;0,4810708;2,479122;0,2667991;0,08300689;2,73365;-0,03603356;-0,2487176;2,75129;-0,3255972;-0,5588336;2,675996;-0,3815299;-0,6319668;2,606393;0,428708;0,04840524;2,704164;0,3658237;-0,460133;2,704103;0,3342012;-0,8331184;2,701247;0,3193556;-0,8989456;2,640443; 
0,4555044;0,7531027;2,709142;0,3619703;0,1439453;2,727275;0,3804369;0,2089034;2,774054;0,4398327;0,568095;2,757408;0,2668225;0,4538986;2,779194;0,155654;0,2057484;2,789485;0,055554;0,01670302;2,713796;0,03375698;-0,04874836;2,690963;0,6166444;0,4511996;2,734324;0,8238578;0,4415987;2,626182;1,000986;0,4893681;2,486131;1,029908;0,4856753;2,473201;0,2669127;0,08298168;2,733591;-0,03553525;-0,2487268;2,751778;-0,324677;-0,55966;2,67784;-0,3806644;-0,6313784;2,606777;0,4288137;0,04841765;2,704279;0,3658446;-0,4600969;2,70413;0,33382;-0,8336183;2,701424;0,3184031;-0,898652;2,642093; 
0,4560162;0,7531092;2,710251;0,3621863;0,1440083;2,727275;0,3805777;0,2089926;2,773944;0,4398397;0,5681514;2,757423;0,2668076;0,4539578;2,779108;0,155652;0,2056755;2,789518;0,0550822;0,01675968;2,71446;0,03370497;-0,0479591;2,691831;0,6169612;0,4512092;2,734376;0,8241324;0,4414134;2,626352;1,000711;0,489612;2,485825;1,030611;0,4871185;2,471574;0,2670234;0,08297323;2,733573;-0,0354264;-0,2488468;2,751943;-0,3243119;-0,5602059;2,677812;-0,3805659;-0,6315978;2,606586;0,4292127;0,04845581;2,704317;0,3659075;-0,4599118;2,704202;0,3337646;-0,8342129;2,701482;0,3184371;-0,8987367;2,642481; 
0,4561422;0,7531766;2,7105;0,3622321;0,144023;2,727309;0,3806477;0,2089871;2,773962;0,4400006;0,5684782;2,757997;0,2667652;0,4539007;2,779147;0,1556918;0,2058184;2,789551;0,05507582;0,01675904;2,715261;0,03419821;-0,04701761;2,692885;0,616866;0,451156;2,734356;0,8239285;0,4414573;2,626231;1,000541;0,4894161;2,485779;1,030832;0,4873735;2,467586;0,267095;0,08305068;2,733562;-0,03484236;-0,2483656;2,751857;-0,3235736;-0,560138;2,678109;-0,380202;-0,6313102;2,606915;0,4292385;0,04846309;2,704375;0,365947;-0,4598751;2,704266;0,3345507;-0,8335543;2,7012;0,3186019;-0,8986447;2,642544; 
0,4557543;0,7524329;2,711753;0,3624174;0,1440146;2,72736;0,3807983;0,2089654;2,773968;0,4399155;0,5683602;2,758117;0,266533;0,4539382;2,779394;0,1558079;0,2056162;2,789698;0,05489749;0,01683736;2,715079;0,03476365;-0,04560119;2,693161;0,6168693;0,451142;2,734345;0,8395058;0,4426246;2,614442;1,0155;0,4952478;2,475015;1,020723;0,481824;2,482495;0,2672463;0,08299657;2,733573;-0,03469527;-0,2483464;2,752039;-0,3228714;-0,5610108;2,679552;-0,3798548;-0,6309241;2,607325;0,4295741;0,04842737;2,704472;0,3660185;-0,4590532;2,704578;0,3345012;-0,8342572;2,701751;0,317672;-0,8988927;2,643012; 
0,4562125;0,7536709;2,711622;0,3624373;0,1440302;2,727355;0,3808356;0,2090029;2,773932;0,4401027;0,5684851;2,758095;0,2665904;0,4537313;2,779332;0,1559988;0,2058316;2,789787;0,05504895;0,01712456;2,715159;0,03474421;-0,04564381;2,693138;0,6168791;0,4511924;2,734343;0,8289384;0,4417679;2,623292;1,004508;0,4909793;2,481975;1,026875;0,4870847;2,47406;0,2672628;0,083046;2,733585;-0,03449033;-0,2483025;2,752208;-0,3227192;-0,5610921;2,679569;-0,3797676;-0,6310694;2,607391;0,4295751;0,04843796;2,704473;0,3659638;-0,4585735;2,704674;0,3346474;-0,8346886;2,701308;0,3174297;-0,8988501;2,643551
