;0,1841598;0,7474917;2,439301;0,1617457;0,116157;2,33996;0,1501928;0,1762582;2,401109;0,1504268;0,5449808;2,430351;0,00164092;0,4202093;2,414763;-0,08829425;0,1697973;2,332078;-0,09376242;-0,03260804;2,188292;-0,09468506;-0,1323536;2,155255;0,3407287;0,4196113;2,479919;0,413092;0,138936;2,459926;0,4559195;-0,08516638;2,420434;0,4463518;-0,1718502;2,422979;0,0844636;0,04968873;2,309578;0,06090063;-0,3361779;2,051534;0,05279171;-0,6377555;1,864214;0,06751236;-0,6639394;1,768655;0,2431233;0,03049906;2,33228;0,1646014;-0,5188668;2,256181;0,1902119;-0,7968715;2,347445;0,1713526;-0,775975;2,246399; 
0,1891448;0,73628;2,358913;0,1442863;0,09897231;2,317433;0,1408743;0,1642531;2,37535;0,1641155;0,5376297;2,377391;-0,006999752;0,4169925;2,377308;-0,09442206;0,1461376;2,287029;-0,08351048;-0,08226084;2,123644;-0,08010544;-0,1558935;2,098459;0,3393933;0,4046779;2,420703;0,3840246;0,1325118;2,360106;0,3720619;-0,07491273;2,246856;0,3686301;-0,1543733;2,201766;0,06340022;0,0298542;2,294638;0,05254721;-0,3721504;2,154332;0,08659007;-0,6913699;1,97252;0,09925171;-0,7336869;1,902549;0,2201191;0,01157545;2,314166;0,1034234;-0,4412104;2,196842;0,1756168;-0,7872936;2,314126;0,1926924;-0,8721909;2,255438; 
0,1849845;0,7352831;2,357174;0,1458635;0,09872663;2,317151;0,1414285;0,1639453;2,374975;0,1621477;0,5366243;2,376709;-0,008434834;0,4163868;2,37599;-0,08702447;0,1669176;2,27901;-0,06613574;-0,03966874;2,09006;-0,05222579;-0,1119565;2,050107;0,3377668;0,4042076;2,421165;0,378655;0,135652;2,359416;0,3604347;-0,06956999;2,242601;0,3555248;-0,1583093;2,185927;0,06622509;0,02933699;2,293416;0,05620959;-0,3731295;2,154769;0,08918685;-0,6902238;1,970877;0,1047278;-0,7326797;1,902721;0,2223958;0,01160551;2,314595;0,1012328;-0,4401536;2,193509;0,1761072;-0,7799849;2,313397;0,1931865;-0,8649008;2,254697; 
0,1810395;0,7332543;2,354017;0,147657;0,09821063;2,3166;0,1420616;0,1632192;2,374407;0,1608693;0,5352648;2,376824;-0,01114304;0,4144541;2,373778;-0,08676947;0,1733603;2,273063;-0,05986852;0,01867284;2,080468;-0,02746683;-0,06191501;2,020517;0,3358012;0,4046401;2,422935;0,3718976;0,1402645;2,361516;0,3499144;-0,06187077;2,239488;0,3406575;-0,1500507;2,182243;0,06883128;0,02736338;2,291127;0,06044041;-0,3770128;2,159016;0,09395259;-0,6889669;1,97121;0,1099626;-0,7319196;1,902899;0,2252337;0,01192676;2,314838;0,0993847;-0,4345544;2,183736;0,1772768;-0,7696247;2,306757;0,19436;-0,8545598;2,248044; 
0,1775267;0,7259942;2,353412;0,1479717;0,09817702;2,316399;0,1415432;0,1627532;2,374052;0,1523749;0,5284859;2,376155;-0,01453678;0,4124082;2,372088;-0,0870946;0,1809495;2,264692;-0,04428395;0,03642266;2,066294;-0,002104096;-0,03596677;2,002126;0,333835;0,405138;2,425874;0,3682509;0,1443144;2,365006;0,341088;-0,06213199;2,238681;0,3242816;-0,1521333;2,186201;0,0696047;0,02688861;2,290007;0,05401932;-0,3771695;2,157942;0,09776142;-0,6906283;1,971619;0,1156827;-0,7326666;1,908055;0,2262867;0,01194771;2,314991;0,09051323;-0,4270115;2,16973;0,1708296;-0,7601725;2,295969;0,156124;-0,7539384;2,192489; 
0,1744564;0,7246441;2,350438;0,1479053;0,09823617;2,316324;0,1408143;0,1626197;2,373853;0,1511332;0,5279961;2,376668;-0,01860297;0,4098112;2,3704;-0,08751912;0,1886651;2,254691;-0,02312324;0,04821454;2,042663;0,02652845;-0,03035961;1,977994;0,3323548;0,4041426;2,428587;0,362264;0,1495774;2,368413;0,3348429;-0,05209631;2,246899;0,3119004;-0,1495604;2,213583;0,06933065;0,02690964;2,289449;-0,02035518;-0,3720502;2,174661;0,1029824;-0,7226053;1,974426;0,1266812;-0,7369143;1,902117;0,2262933;0,01193234;2,314996;0,08973856;-0,4263395;2,168006;0,1701968;-0,7589836;2,294359;0,1570877;-0,7537469;2,190559; 
0,1666385;0,7234786;2,34763;0,1482886;0,09896834;2,316356;0,1403053;0,1626665;2,373753;0,149049;0,5274048;2,377396;-0,02270246;0,4074612;2,369202;-0,08906095;0,1864963;2,239641;-0,008710489;0,05344628;2,030013;0,04369947;-0,007656715;1,973378;0,3299775;0,4044784;2,431926;0,3566619;0,1570862;2,371421;0,3243489;-0,04748945;2,257062;0,3036321;-0,1470128;2,228779;0,0697263;0,02740437;2,289076;-0,02265743;-0,3708933;2,174521;0,106128;-0,7224566;1,980193;0,1416106;-0,7474098;1,916015;0,2273299;0,01256586;2,315356;0,08928975;-0,4269232;2,166965;0,1699141;-0,7592081;2,293595;0,1593657;-0,7557045;2,189383; 
0,1621727;0,7226536;2,348196;0,1477476;0,09891906;2,316334;0,1389849;0,1622126;2,373677;0,1456553;0,5265557;2,378344;-0,02767036;0,4052165;2,368081;-0,08996081;0,1854669;2,23308;0,005073167;0,05952445;2,020711;0,0588562;0,003936421;1,968801;0,3230377;0,4052107;2,432806;0,3548415;0,1578087;2,372752;0,3238324;-0,04687455;2,258291;0,3105607;-0,09696159;2,257632;0,06946743;0,02728389;2,288999;-0,02245283;-0,3709357;2,174221;0,1126725;-0,7255865;1,991589;0,1531159;-0,7563887;1,933095;0,2268085;0,01269344;2,315337;0,09386438;-0,4313689;2,170779;0,1745723;-0,762969;2,297465;0,1639826;-0,7603881;2,193182; 
0,1536216;0,7224717;2,349017;0,1476985;0,09897109;2,316395;0,1387419;0,1620869;2,37375;0,1419006;0,5256855;2,378374;-0,03105852;0,4042461;2,367465;-0,08972967;0,1844634;2,227983;0,01104821;0,06325316;2,020165;0,06826685;0,01102092;1,968319;0,3176158;0,4045595;2,431357;0,3541519;0,1587414;2,374221;0,3230298;-0,04590584;2,259815;0,3025588;-0,1478766;2,242098;0,06942543;0,02710814;2,288879;-0,02178565;-0,3716365;2,17582;0,1254827;-0,7294304;2,01239;0,1512913;-0,7636484;1,947784;0,2273173;0,01361178;2,316239;0,09389988;-0,432057;2,171197;0,1746501;-0,7634974;2,297887;0,1653661;-0,7644386;2,193409; 
0,1512465;0,7221809;2,349584;0,1476472;0,09951764;2,316589;0,1384577;0,1622926;2,373851;0,139805;0,5251651;2,378458;-0,03453878;0,4033448;2,366686;-0,08879735;0,1844371;2,227432;0,01506163;0,06402795;2,021202;0,07234326;0,01324103;1,969888;0,3147875;0,4035828;2,430709;0,3536886;0,1590758;2,375265;0,3227783;-0,04544577;2,26064;0,3377973;-0,1201658;2,244308;0,06935693;0,02736715;2,288609;-0,02459839;-0,3710854;2,177233;0,1242847;-0,7321683;2,024337;0,1590103;-0,7767642;1,971231;0,2281083;0,01452208;2,317355;0,09668569;-0,4345822;2,173256;0,1775303;-0,7658043;2,300034;0,1684675;-0,7685626;2,195534; 
0,148466;0,7214889;2,349454;0,1471183;0,09956636;2,316278;0,1374151;0,1621182;2,373363;0,1359954;0,5241474;2,377403;-0,03582772;0,4033403;2,366395;-0,087736;0,1840958;2,227934;0,01920124;0,06059453;2,027292;0,07830894;0,01124116;1,978817;0,3083624;0,407395;2,42906;0,3529393;0,1604059;2,376158;0,3240627;-0,04417884;2,261151;0,3127052;-0,1467063;2,23877;0,06932371;0,02727285;2,288162;-0,02487956;-0,3711817;2,177528;0,1264711;-0,7366129;2,040801;0,1630003;-0,785204;1,992587;0,2273696;0,01510983;2,317194;0,09818307;-0,4383798;2,17413;0,1790654;-0,7693745;2,30095;0,170854;-0,7741388;2,196407; 
0,1444611;0,7207773;2,347721;0,1469311;0,09966265;2,315938;0,1369909;0,1620508;2,372955;0,1337352;0,5237764;2,377055;-0,03723659;0,4031763;2,366105;-0,08704265;0,1830892;2,233764;0,02065805;0,04971781;2,042954;0,08252393;-0,01057171;2,001414;0,3071121;0,4062576;2,427881;0,3528318;0,1601905;2,376017;0,3262759;-0,04463533;2,26097;0,3099281;-0,1459634;2,236395;0,06906738;0,02724253;2,287656;-0,02669592;-0,3711314;2,178501;0,1294002;-0,7392721;2,058347;0,1653195;-0,7909693;2,008072;0,2277218;0,01551253;2,316697;0,09887724;-0,4401251;2,1754;0,1798018;-0,7710527;2,302257;0,1727412;-0,7774934;2,197682; 
0,1432777;0,7207689;2,346718;0,1461284;0,1000161;2,31483;0,1358387;0,162203;2,371762;0,1315633;0,5237018;2,375878;-0,03833786;0,4047911;2,366946;-0,08586021;0,1824761;2,244243;0,005535901;0,0318246;2,082661;0,06437998;-0,0385217;2,030456;0,3066859;0,4063748;2,427902;0,3532872;0,1594842;2,375406;0,3329037;-0,04628403;2,260948;0,3127836;-0,1476365;2,239515;0,06849465;0,0275918;2,285509;-0,02717902;-0,371354;2,179081;0,1250391;-0,7475297;2,088974;0,1650602;-0,7951337;2,01825;0,2273932;0,01576849;2,316274;0,1016266;-0,4449812;2,179276;0,182614;-0,7758299;2,306189;0,1738552;-0,781642;2,201663; 
0,1422585;0,719933;2,34602;0,1455321;0,1007603;2,312694;0,1348887;0,1624937;2,369722;0,1277932;0,5228719;2,37377;-0,03982461;0,4060202;2,367773;-0,08595718;0,1814873;2,250887;-0,007064626;0,01781976;2,096182;0,04136087;-0,06692129;2,0561;0,3059665;0,4060911;2,427172;0,3538086;0,1595323;2,375411;0,3344578;-0,04635969;2,261117;0,3142094;-0,1476438;2,239572;0,06779502;0,02787182;2,281981;-0,02878085;-0,3714603;2,17838;0,1251444;-0,7483219;2,096291;0,1665046;-0,796856;2,027395;0,2279261;0,01685522;2,314686;0,1010713;-0,4457197;2,181247;0,1820806;-0,7765409;2,308186;0,1729524;-0,7825348;2,20367; 
0,1418602;0,7186781;2,344955;0,1442494;0,1007643;2,310358;0,1333215;0,1621449;2,367197;0,1248892;0,5210424;2,370583;-0,04053327;0,4060185;2,367697;-0,08636475;0,1766572;2,258307;-0,02738592;-0,01796965;2,124218;0,01918434;-0,1044794;2,085512;0,305049;0,4057473;2,425595;0,35413;0,1593705;2,375214;0,3370674;-0,04681471;2,261219;0,3170252;-0,1484614;2,240795;0,06619637;0,02690913;2,279336;-0,02584925;-0,3746446;2,181269;0,1242417;-0,7525188;2,094772;0,1668507;-0,7969704;2,029299;0,2276556;0,01764564;2,312828;0,102911;-0,4460144;2,18672;0,0668123;-0,8260186;2,311743;0,09880812;-0,814368;2,212289; 
0,1418007;0,7198609;2,342796;0,1434193;0,1007154;2,309068;0,1323091;0,162314;2,365724;0,1229832;0,5221627;2,367899;-0,0409686;0,4063271;2,367525;-0,0891846;0,1675675;2,265649;-0,04520885;-0,03899982;2,135042;-0,03856378;-0,1250314;2,106308;0,303874;0,4062294;2,424518;0,3544007;0,1591516;2,37511;0,3381841;-0,04714085;2,261286;0,3205318;-0,1495922;2,242577;0,06592599;0,0267432;2,278791;-0,01663589;-0,3766587;2,180135;0,1226496;-0,7585763;2,092184;0,1649536;-0,7971631;2,02983;0,2268546;0,01814386;2,311506;0,1032335;-0,4464335;2,18793;0,0665426;-0,8267474;2,312436;0,09796727;-0,8150363;2,212765; 
0,1417767;0,7192799;2,339804;0,1407839;0,1001033;2,307693;0,1303877;0,1617982;2,364396;0,1225693;0,5221362;2,366605;-0,04165917;0,4063731;2,367013;-0,09271646;0,1572896;2,271006;-0,06687276;-0,05497143;2,153735;-0,06594126;-0,1306936;2,134731;0,3037283;0,4054969;2,421166;0,3577202;0,1569213;2,374909;0,3405588;-0,04908769;2,260722;0,3229671;-0,1516196;2,242393;0,06302071;0,02597656;2,278661;-0,01717182;-0,3776484;2,1793;0,1209513;-0,7580719;2,079391;0,1644115;-0,7986052;2,029244;0,2237246;0,01747407;2,308973;0,1046723;-0,4478562;2,190414;0,06625973;-0,8281417;2,31502;0,0974281;-0,815579;2,215329; 
