;0,1627476;0,8752277;2,087547;0,1276842;0,2532758;2,042673;0,1331939;0,310942;2,107102;0,1561129;0,6805406;2,138753;-0,01536004;0,557963;2,125829;-0,1003871;0,3032832;2,101566;-0,1397314;0,07237718;1,985829;-0,1562393;-0,01516202;1,937545;0,3651967;0,6048154;2,129949;0,5508031;0,7180287;2,039196;0,7625337;0,8471769;1,953474;0,8243051;0,8848553;1,932656;0,03933007;0,1702572;2,027441;-0,1401804;-0,3414311;2,022281;-0,279486;-0,7164809;2,161171;-0,3416465;-0,8095419;2,125406;0,2059139;0,1692779;2,015156;0,1595159;-0,3521993;2,056674;0,1190828;-0,7414933;2,060175;0,1215846;-0,8200082;2,02194; 
0,190864;0,8720912;2,104903;0,1354321;0,2530481;2,054028;0,145419;0,3096429;2,118377;0,1710071;0,6752858;2,150767;-0,00621649;0,5578905;2,150581;-0,09632659;0,2941976;2,125369;-0,1408248;0,07186292;2,010473;-0,1634428;-0,002658738;1,965125;0,3767677;0,5960498;2,130215;0,5595772;0,7049319;2,027334;0,7671127;0,8285408;1,92819;0,827773;0,8646703;1,903411;0,045463;0,1705439;2,042147;-0,1377051;-0,3497133;2,046624;-0,2595406;-0,732149;2,189598;-0,3284265;-0,8184908;2,152385;0,211407;0,167733;2,022115;0,1600538;-0,3517998;2,058036;0,1202561;-0,7409649;2,060537;0,1210071;-0,8183309;2,022647; 
0,1904203;0,8721385;2,106039;0,1352792;0,2532229;2,054867;0,1454278;0,309733;2,119174;0,1710856;0,675046;2,151437;-0,006401059;0,5581219;2,152116;-0,0965711;0,2940489;2,126551;-0,141183;0,07181732;2,011332;-0,1641144;-0,001412915;1,967101;0,3766754;0,5956877;2,130738;0,5592743;0,7047076;2,027634;0,7665142;0,8284391;1,92826;0,827112;0,8646187;1,903404;0,04525476;0,1707771;2,043208;-0,1377914;-0,3497902;2,046788;-0,2593324;-0,7324541;2,189759;-0,3270214;-0,8202989;2,154135;0,2111924;0,1678766;2,022709;0,1600877;-0,3518176;2,058076;0,1201378;-0,7407771;2,060449;0,1210346;-0,8181782;2,02276; 
0,1901982;0,8719327;2,106647;0,1350538;0,2531833;2,055618;0,1453039;0,3096504;2,119954;0,1710413;0,6749369;2,15236;-0,006447132;0,5581657;2,153172;-0,09657137;0,2938279;2,127955;-0,1420918;0,07249206;2,013756;-0,1644396;-0,001883207;1,967697;0,3766363;0,5953968;2,13119;0,5591127;0,7045174;2,028023;0,7661554;0,8283285;1,928602;0,8267198;0,864546;1,903723;0,04499305;0,1707503;2,044112;-0,1383894;-0,3506148;2,04798;-0,2599717;-0,7336552;2,190366;-0,3277154;-0,8211601;2,154267;0,2109345;0,1678556;2,023224;0,1600879;-0,3519691;2,058152;0,1201306;-0,7407466;2,060461;0,1210385;-0,8180971;2,0228; 
0,1885063;0,8726375;2,108589;0,1347785;0,2531789;2,056522;0,1450999;0,3096613;2,120808;0,170808;0,6748554;2,152897;-0,006447068;0,5583985;2,154354;-0,09683204;0,2943208;2,129978;-0,1425992;0,07355522;2,01576;-0,1641465;-0,00194446;1,967944;0,3764189;0,5952933;2,131811;0,5588637;0,7042978;2,028487;0,7658123;0,8279425;1,928912;0,8263735;0,8641257;1,903978;0,0447876;0,1708444;2,04503;-0,1390771;-0,3509162;2,048617;-0,2604636;-0,7342795;2,190703;-0,3281607;-0,8217227;2,154618;0,210557;0,1678774;2,024262;0,1600745;-0,3520093;2,058199;0,1201605;-0,7404795;2,060461;0,1210387;-0,8177978;2,022864; 
0,1884299;0,8727275;2,108755;0,1343819;0,2534357;2,057697;0,1448929;0,3099614;2,121906;0,1709697;0,6751541;2,153644;-0,006731004;0,5584526;2,15554;-0,09692393;0,2941449;2,131164;-0,142923;0,07411705;2,017372;-0,1638932;-0,001671146;1,968614;0,3763234;0,5951622;2,132364;0,5586246;0,7041669;2,02878;0,7653521;0,827777;1,928932;0,8258452;0,8639481;1,903919;0,04423935;0,1710903;2,046453;-0,1393532;-0,3509513;2,049116;-0,2607324;-0,7343808;2,191346;-0,3284843;-0,8216587;2,155201;0,2100056;0,1680999;2,025368;0,1599267;-0,351598;2,058441;0,1200641;-0,7403907;2,060359;0,121124;-0,8176913;2,022856; 
0,1888842;0,8725547;2,109952;0,1341083;0,2534365;2,058527;0,1446287;0,3099042;2,122775;0,1703326;0,6750034;2,154727;-0,006842839;0,5587224;2,15668;-0,09710924;0,2940801;2,132404;-0,1432748;0,07400019;2,018244;-0,1641138;-0,002105804;1,968889;0,376171;0,5951252;2,132968;0,5584509;0,7039999;2,029229;0,7650962;0,8274279;1,929232;0,8255625;0,8635441;1,904176;0,04408529;0,1710915;2,047348;-0,1402251;-0,3512108;2,050327;-0,2616193;-0,7349098;2,192227;-0,3294211;-0,8217829;2,155445;0,2097407;0,1681252;2,025995;0,1598632;-0,3516411;2,058636;0,1200577;-0,7403951;2,060365;0,1210037;-0,8176985;2,022991; 
0,1895482;0,8723814;2,110713;0,133724;0,2535392;2,059557;0,144221;0,3100023;2,123797;0,1693935;0,6750548;2,155702;-0,007170991;0,5591005;2,157916;-0,09742244;0,2940498;2,133336;-0,1438124;0,0750276;2,020072;-0,1643428;-0,00168824;1,969572;0,3757889;0,5950209;2,133629;0,558093;0,7036028;2,02961;0,7647069;0,8266637;1,929319;0,8251624;0,8626715;1,904178;0,04388116;0,171284;2,048153;-0,1410079;-0,3514088;2,051203;-0,2620674;-0,735419;2,192928;-0,3298409;-0,8219477;2,155519;0,2093505;0,1681983;2,02731;0,1594275;-0,3519043;2,05926;0,1200184;-0,74037;2,060456;0,121104;-0,8176371;2,023135; 
0,1898541;0,8724637;2,1112;0,1334642;0,2533993;2,060594;0,1440101;0,3099619;2,124799;0,1694832;0,6752645;2,15649;-0,007188225;0,5590275;2,158511;-0,09799402;0,2937156;2,134286;-0,1439935;0,07486408;2,020783;-0,1645881;-0,001718076;1,970175;0,375519;0,5946971;2,13428;0,5575978;0,7033397;2,029888;0,7638975;0,8264346;1,929199;0,8242854;0,8624667;1,903932;0,04366241;0,171324;2,048938;-0,141377;-0,3511842;2,05192;-0,2627566;-0,7351465;2,193801;-0,3304862;-0,8213882;2,155867;0,2088827;0,1679894;2,028864;0,1587335;-0,3531622;2,060288;0,1200598;-0,7403636;2,060444;0,1210947;-0,8175936;2,023161; 
0,1898239;0,8721552;2,111833;0,132956;0,25348;2,061886;0,143584;0,3100214;2,12601;0,1690535;0,6750295;2,157257;-0,007676395;0,5590049;2,159724;-0,09876251;0,2937252;2,135538;-0,1445158;0,07454004;2,021521;-0,1646916;-0,001564336;1,9712;0,3753441;0,5944848;2,134844;0,5572352;0,7031477;2,030112;0,763263;0,8262299;1,929062;0,8235955;0,862273;1,903679;0,04313489;0,1714376;2,050177;-0,1419026;-0,3511393;2,052787;-0,2637631;-0,7351953;2,19439;-0,3312132;-0,8214816;2,156275;0,2083936;0,1679311;2,030225;0,1579883;-0,3537646;2,061154;0,1198833;-0,7402284;2,060574;0,121057;-0,8174201;2,023336; 
0,1898479;0,8722454;2,112246;0,1328204;0,2536694;2,062884;0,1434896;0,3102452;2,126975;0,1689957;0,6752256;2,157952;-0,008155198;0,5588623;2,160632;-0,09941869;0,2936708;2,136759;-0,1451742;0,07550503;2,023752;-0,1648953;-0,0008282383;1,972471;0,3750939;0,5945116;2,135537;0,556923;0,7028859;2,030327;0,7628205;0,8256053;1,928762;0,8231394;0,8615567;1,903218;0,04297639;0,1715512;2,051118;-0,1424628;-0,3511788;2,053472;-0,2638373;-0,7355475;2,194993;-0,3315431;-0,8213817;2,156523;0,2082529;0,1681015;2,031293;0,1579524;-0,3536613;2,061297;0,1197499;-0,7399251;2,060657;0,1210315;-0,8171484;2,023606; 
0,1894775;0,8723976;2,112918;0,1323556;0,2536623;2,063987;0,1430868;0,3102947;2,128065;0,1689835;0,6754561;2,158945;-0,008400477;0,5589191;2,161246;-0,09957612;0,2938952;2,137817;-0,1460115;0,07566691;2,025275;-0,1655859;-0,0003373892;1,973589;0,3745334;0,5942545;2,13623;0,5562659;0,702497;2,030684;0,7619944;0,8250318;1,928763;0,8222882;0,8609437;1,903104;0,04243075;0,171657;2,052402;-0,1427382;-0,3512167;2,054204;-0,2636997;-0,7359604;2,195448;-0,3317606;-0,8215269;2,157212;0,2076669;0,1681229;2,032368;0,1577533;-0,3531969;2,0617;0,1197981;-0,7397945;2,060763;0,1204792;-0,8169701;2,023712; 
0,1894248;0,8721133;2,11352;0,1319945;0,2534446;2,064878;0,1426687;0,3100944;2,128967;0,1684849;0,675303;2,159799;-0,00878567;0,558609;2,161775;-0,1005589;0,2937043;2,139273;-0,1463616;0,07557665;2,02613;-0,1658139;-0,0004355553;1,974334;0,3741307;0,5939237;2,136972;0,5557112;0,702033;2,030958;0,761206;0,8243805;1,928535;0,8214563;0,8602522;1,902718;0,0420092;0,17135;2,053317;-0,1430376;-0,3512027;2,055152;-0,263523;-0,7364347;2,195899;-0,3320221;-0,8216746;2,157923;0,207428;0,1679627;2,033204;0,1575268;-0,353245;2,062094;0,1198228;-0,7397924;2,060819;0,1205616;-0,8170066;2,023967; 
0,1895532;0,8718576;2,113385;0,131485;0,2534421;2,065944;0,1421675;0,3101598;2,130005;0,1682849;0,6754795;2,160602;-0,008898598;0,5586804;2,16225;-0,100958;0,2935854;2,140239;-0,1466249;0,07572675;2,027586;-0,1665546;0,0001551338;1,975953;0,3738184;0,594062;2,137818;0,5555241;0,7015186;2,031267;0,7611008;0,823092;1,928261;0,8213993;0,8587512;1,902263;0,04143554;0,1713357;2,054401;-0,1431643;-0,3513973;2,055928;-0,2632544;-0,737054;2,196263;-0,331989;-0,8218646;2,15796;0,2068535;0,1680462;2,034397;0,1574274;-0,3531359;2,062546;0,1197371;-0,739809;2,060916;0,1206037;-0,8169263;2,02398
