;0,2217054;0,8543393;2,570768;0,1370934;0,2441621;2,597512;0,1489592;0,3077694;2,651851;0,202514;0,6617709;2,631617;0,02170092;0,5638357;2,646271;-0,09961581;0,3302547;2,719264;-0,1718676;0,1008715;2,681459;-0,1979254;-0,005146541;2,666567;0,4044707;0,5658475;2,643629;0,6566509;0,6015118;2,583607;0,8532106;0,7341677;2,487679;0,9771348;0,8363543;2,460361;0,03934432;0,1729313;2,590471;-0,2331539;-0,3388052;2,576947;-0,4303932;-0,7085721;2,671794;-0,4906449;-0,7790022;2,633998;0,2066286;0,1467975;2,585913;0,130198;-0,4314557;2,613513;0,09936225;-0,8171369;2,597961;0,1178957;-0,8943909;2,540358; 
0,2253954;0,8549933;2,581344;0,1354932;0,2462386;2,611561;0,1486318;0,3099278;2,661003;0,2109017;0,6608823;2,643904;0,02279197;0,5698295;2,655204;-0,1038208;0,3446188;2,715689;-0,1915006;0,0973316;2,662611;-0,2177979;0,02438013;2,636127;0,4063059;0,5666105;2,65006;0,660508;0,5932586;2,580173;0,8591048;0,7327875;2,479988;0,948843;0,8205482;2,450347;0,03680431;0,1758417;2,60486;-0,2317304;-0,340124;2,585252;-0,4368449;-0,7106932;2,676346;-0,4931086;-0,7854157;2,639342;0,2034869;0,1477742;2,599811;0,131541;-0,4309145;2,618006;0,09933053;-0,8193931;2,598303;0,1191561;-0,8957518;2,540646; 
0,2255553;0,8546216;2,581257;0,135665;0,2460607;2,611958;0,1487844;0,3097546;2,661346;0,2109244;0,6607044;2,644336;0,0228276;0,5698031;2,655495;-0,1038266;0,3448405;2,715669;-0,1914389;0,09742416;2,662488;-0,2226678;-0,005035202;2,635195;0,4063394;0,5665;2,650305;0,6605607;0,5932923;2,580608;0,8602386;0,7336146;2,480716;0,9601537;0,828331;2,454867;0,03690701;0,1757049;2,605091;-0,2317303;-0,3399691;2,585177;-0,4374589;-0,711212;2,67366;-0,4942596;-0,7861862;2,637994;0,2038017;0,147563;2,600312;0,1315601;-0,4308665;2,61818;0,09916405;-0,8194766;2,598266;0,1191111;-0,8957995;2,540555; 
0,225838;0,8545423;2,581408;0,1358822;0,2460875;2,612291;0,1489409;0,3097769;2,66166;0,2109456;0,6607286;2,644821;0,02287748;0,5696995;2,655727;-0,1038379;0,34484;2,715725;-0,1914862;0,0975225;2,662465;-0,2225292;-0,00545846;2,635118;0,406405;0,5665472;2,6508;0,6598173;0,5932449;2,58133;0,8603425;0,7337162;2,481162;0,9598927;0,8279487;2,455177;0,0372323;0,1756537;2,605437;-0,2317396;-0,3398954;2,585103;-0,4401153;-0,7098654;2,673485;-0,4946861;-0,7856272;2,636012;0,2039915;0,1476504;2,600544;0,1315817;-0,4311059;2,618504;0,09897978;-0,8200148;2,598223;0,1192344;-0,8957778;2,540837; 
0,2262193;0,8539128;2,581478;0,1361155;0,2462329;2,612739;0,1489742;0,3098186;2,662332;0,2108851;0,6609318;2,646521;0,0230574;0,5695766;2,65603;-0,103853;0,3448149;2,715453;-0,1917718;0,0972164;2,66172;-0,2228988;-0,005771247;2,634632;0,4069386;0,567607;2,652697;0,659269;0,5923164;2,582661;0,8604877;0,733551;2,482119;0,9550306;0,8255388;2,457517;0,03767357;0,1757482;2,605901;-0,2318307;-0,3399254;2,585033;-0,4387246;-0,7107043;2,673999;-0,4941584;-0,7853336;2,635481;0,2041024;0,1477774;2,600689;0,1316352;-0,4311058;2,618747;0,09900001;-0,8199608;2,598262;0,1191378;-0,8959016;2,54098; 
0,2267826;0,8526105;2,580381;0,1359983;0,2462173;2,613066;0,1488015;0,3096974;2,662919;0,2110147;0,6608176;2,647648;0,0231591;0,5696412;2,656185;-0,10414;0,3448316;2,715417;-0,1916947;0,09729689;2,661657;-0,2230124;-0,005951062;2,634791;0,4070495;0,5674433;2,65343;0,6589857;0,592194;2,583299;0,8610336;0,7334924;2,48324;0,9561796;0,8234905;2,457298;0,03758126;0,1757669;2,60599;-0,2317974;-0,3395359;2,584796;-0,4378109;-0,7109299;2,673863;-0,4935556;-0,7852077;2,635064;0,2039395;0,1477717;2,601035;0,1316268;-0,4309859;2,618934;0,09979011;-0,821566;2,597583;0,1188973;-0,8963745;2,541533; 
0,2271793;0,8529685;2,580321;0,1361834;0,2462669;2,613285;0,1490336;0,3097191;2,663476;0,2123581;0,6616857;2,64876;0,02350687;0,569755;2,656318;-0,1055078;0,3440644;2,713929;-0,1918645;0,09766328;2,661262;-0,2179497;0,02267576;2,630915;0,4073155;0,5673562;2,654158;0,6590815;0,5920597;2,583974;0,8570781;0,7290512;2,489312;0,9554105;0,8216577;2,458207;0,03763958;0,1758109;2,606026;-0,2320071;-0,3391292;2,58411;-0,4378149;-0,7108034;2,673134;-0,4929284;-0,7847976;2,632854;0,2041056;0,147887;2,601293;0,1316178;-0,4310135;2,619283;0,09974069;-0,8214698;2,597602;0,1188948;-0,8963879;2,541625; 
0,2280712;0,8527898;2,580881;0,1361257;0,2461903;2,613557;0,1488945;0,3095814;2,664059;0,2123556;0,6615341;2,649393;0,02378072;0,5698708;2,656214;-0,1055544;0,3442471;2,71379;-0,1923851;0,09718327;2,659829;-0,2260044;-7,601315E-05;2,624928;0,4073372;0,5669093;2,654734;0,6581696;0,5910114;2,585174;0,8556626;0,7269893;2,493217;0,9556552;0,8214359;2,458282;0,03761642;0,1758137;2,606046;-0,2321525;-0,339471;2,583822;-0,440088;-0,7126787;2,664434;-0,4954113;-0,7888449;2,62873;0,204011;0,1478456;2,601737;0,1315362;-0,430818;2,619512;0,09962446;-0,8212468;2,597638;0,1189312;-0,8964696;2,541783; 
0,2284435;0,8527133;2,581304;0,1360873;0,2462212;2,613718;0,1488046;0,30955;2,664507;0,212467;0,6613993;2,649823;0,02398366;0,5698977;2,65618;-0,1058247;0,3443145;2,71255;-0,1933159;0,09748337;2,657395;-0,2208595;0,02596133;2,625257;0,4075193;0,5666844;2,655251;0,6578484;0,590592;2,585976;0,8542223;0,724569;2,495114;0,9557633;0,8207641;2,459424;0,03758348;0,1759542;2,606001;-0,2322434;-0,3395945;2,583314;-0,4395306;-0,7128799;2,665432;-0,4946297;-0,7883859;2,627982;0,2038367;0,1477908;2,602201;0,1315773;-0,4308339;2,619554;0,09994445;-0,8207121;2,597846;0,1189504;-0,8965038;2,541672; 
0,2291549;0,8527836;2,581542;0,1360934;0,2461339;2,613775;0,1487233;0,309463;2,664794;0,2120647;0,6614307;2,649953;0,02413246;0,5700376;2,656112;-0,1066898;0,3443685;2,711078;-0,1959564;0,0941215;2,652856;-0,2304702;-0,001923732;2,608368;0,4074289;0,5664607;2,655604;0,6573559;0,5900248;2,586549;0,8990884;0,7552305;2,484931;0,9560507;0,8205515;2,462122;0,03765327;0,1757946;2,606194;-0,2323789;-0,3402094;2,582927;-0,4393976;-0,7145071;2,662635;-0,4944403;-0,7899776;2,624989;0,2038763;0,1477768;2,602161;0,1315757;-0,4309745;2,619722;0,09980959;-0,8192943;2,598814;0,1189;-0,8965359;2,541891; 
0,2292743;0,8527653;2,581529;0,1362411;0,2459208;2,613908;0,14875;0,3092909;2,6651;0,2120684;0,6613503;2,649949;0,02439876;0,5700053;2,655876;-0,1069931;0,3444808;2,709852;-0,1965771;0,09453056;2,650589;-0,2305325;-0,002337207;2,60831;0,4075627;0,5662752;2,656066;0,6574718;0,5898555;2,586811;0,8522623;0,7181464;2,507111;0,9564196;0,8206378;2,464326;0,03781988;0,1755681;2,606421;-0,2323766;-0,3412353;2,582329;-0,439091;-0,7158251;2,66216;-0,4928756;-0,7902119;2,62068;0,2040564;0,1476308;2,602186;0,1313535;-0,4311045;2,619882;0,09934458;-0,8183496;2,599723;0,1187504;-0,8964173;2,541831; 
