;-0,02915427;0,7202207;3,134864;0,002830408;0,1404508;3,0267;-0,004035743;0,1922132;3,089339;-0,03584468;0,5354996;3,11535;-0,1926552;0,393229;3,103355;-0,2438686;0,1217103;3,099469;-0,2844561;-0,1181284;3,017074;-0,2747408;-0,2134311;2,983265;0,1540833;0,4351186;3,123171;0,306684;0,6436099;3,131746;0,3197857;0,9557645;3,12605;0,3164124;1,059672;3,143024;-0,08099924;0,06787516;3,011067;-0,09677196;0,01977919;2,556601;-0,08772998;-0,2988979;2,652026;-0,1016913;-0,377184;2,603393;0,1012078;0,05945279;3,002305;0,03536227;-0,4944921;2,986166;-0,01290776;-0,8763978;2,961601;-0,009815846;-0,9042698;2,882485; 
-0,03879266;0,7169337;3,124597;-0,004011635;0,1384144;3,017896;-0,008848073;0,1911396;3,080241;-0,03854545;0,5304346;3,102747;-0,1988657;0,3895994;3,102283;-0,2410377;0,1196646;3,098305;-0,2731291;-0,1095616;3,019608;-0,2650242;-0,2066969;2,987767;0,1497847;0,4322754;3,106252;0,3011668;0,6393434;3,109596;0,3133372;0,951474;3,094183;0,3122082;1,065928;3,116244;-0,08873677;0,06661256;3,007687;-0,1008681;-0,00314822;2,556791;-0,1082865;-0,3285688;2,653996;-0,1071842;-0,3836789;2,608581;0,09393474;0,05742788;2,98866;0,03237442;-0,4971128;2,976307;-0,01600263;-0,8775542;2,959533;-0,01073992;-0,9399512;2,925186; 
-0,03747844;0,7179802;3,123629;-0,00294744;0,1383968;3,017053;-0,008010707;0,1912805;3,079448;-0,03852749;0,5315008;3,102321;-0,1988273;0,3895839;3,102263;-0,2404734;0,1199435;3,098435;-0,2733293;-0,1094973;3,019783;-0,2645115;-0,2068751;2,988616;0,1498721;0,432109;3,106094;0,3033212;0,640186;3,108042;0,3141676;0,9523501;3,09563;0,3128526;1,067165;3,116896;-0,0868826;0,06627091;3,006907;-0,1011308;-0,003278829;2,556079;-0,1085436;-0,3298118;2,652775;-0,1077223;-0,3859264;2,608548;0,09499909;0,05762461;2,987683;0,03260811;-0,4962263;2,976116;-0,01586679;-0,8765509;2,95971;-0,01069061;-0,9390443;2,925455; 
-0,03690882;0,718313;3,123364;-0,002912395;0,1382288;3,017092;-0,008238111;0,1911729;3,07943;-0,03792362;0,531704;3,102257;-0,1981547;0,3902077;3,101005;-0,2391957;0,1198116;3,096019;-0,2739749;-0,1106915;3,018583;-0,2642752;-0,2082639;2,988319;0,1509538;0,4330684;3,107018;0,3046073;0,6396806;3,108554;0,3269748;0,9490684;3,096189;0,3148362;1,0495;3,113406;-0,08685414;0,06621805;3,006827;-0,1009366;-0,005281515;2,556354;-0,1089318;-0,3337846;2,651497;-0,1080401;-0,3912353;2,608968;0,09474954;0,05678799;2,988432;0,03262083;-0,4963478;2,975968;-0,01605395;-0,876884;2,959864;-0,01152235;-0,9423204;2,931444; 
-0,03634555;0,7187726;3,12145;-0,0006654067;0,138952;3,016629;-0,0060822;0,191862;3,078951;-0,03609496;0,5326316;3,102369;-0,1977491;0,3898055;3,100477;-0,2390894;0,1197801;3,095956;-0,2740977;-0,1102328;3,018623;-0,2643541;-0,208118;2,98931;0,1513316;0,433227;3,107281;0,3062174;0,6416202;3,108833;0,3251098;0,9533116;3,101244;0,3097527;1,026922;3,111315;-0,08380154;0,06641971;3,005994;-0,1005232;-0,008776799;2,55627;-0,1081576;-0,3335664;2,650651;-0,1080042;-0,3928156;2,610595;0,09659581;0,05798607;2,988095;0,03273484;-0,4964924;2,97589;-0,01610924;-0,8771129;2,959796;-0,01585483;-0,9052237;2,880491; 
-0,03347062;0,7190074;3,12188;-4,252209E-05;0,1391041;3,016571;-0,005807805;0,1920544;3,0789;-0,03585177;0,5338916;3,102931;-0,1969096;0,3908383;3,099283;-0,2387362;0,118965;3,094403;-0,2739642;-0,110234;3,017822;-0,264675;-0,2076704;2,986919;0,1519857;0,4335524;3,107781;0,3094616;0,6435993;3,10728;0,3459288;0,933607;3,101625;0,3192795;1,032451;3,109032;-0,08205733;0,06722078;3,004607;-0,1008055;-0,01148394;2,555622;-0,1072858;-0,334508;2,649861;-0,1065639;-0,3963945;2,614035;0,09711637;0,05797279;2,988791;0,0324153;-0,5031574;2,975507;-0,01662998;-0,8781753;2,96024;-0,004807015;-0,9538342;2,911118; 
-0,03248138;0,7185291;3,121573;0,0001717807;0,139049;3,016716;-0,005639264;0,191942;3,079028;-0,03552072;0,5336332;3,103299;-0,1967689;0,3908561;3,099283;-0,2384565;0,1181665;3,094336;-0,2731001;-0,1031926;3,016123;-0,2652289;-0,2012826;2,986991;0,1525883;0,4338907;3,108382;0,3108498;0,6417797;3,106865;0,3786441;0,8621623;3,104;0,3598248;0,9629754;3,10785;-0,08179281;0,06711404;3,004544;-0,1025341;-0,02551512;2,558431;-0,09611248;-0,3470716;2,655024;-0,1090182;-0,4218592;2,607079;0,09721709;0,05791117;2,989297;0,03261544;-0,5032333;2,975337;-0,01662195;-0,8791098;2,95993;-0,004548263;-0,9521404;2,912123; 
-0,02755686;0,7209347;3,121541;-0,0005835781;0,134224;3,020248;-0,005749795;0,1888288;3,081873;-0,03278627;0,5334731;3,104794;-0,1958766;0,390605;3,098603;-0,2384101;0,1181258;3,09435;-0,2735071;-0,1031627;3,016026;-0,2661153;-0,2010321;2,986056;0,1526262;0,4338167;3,108468;0,3110944;0,6356288;3,105071;0,3769608;0,8566217;3,101461;0,35773;0,9573189;3,1061;-0,08282508;0,0626554;3,007265;-0,1041389;-0,04428533;2,564533;-0,101998;-0,40058;2,647475;-0,1119855;-0,4494086;2,596201;0,09379576;0,05235738;2,996135;0,03293264;-0,5039704;2,975534;-0,01642793;-0,8788309;2,96014;-0,004738668;-0,951687;2,91235; 
-0,01578974;0,7225634;3,121841;-0,002356769;0,1315914;3,023424;-0,007263722;0,1871476;3,084462;-0,03271513;0,5334465;3,104906;-0,1940455;0,3913378;3,099045;-0,2382547;0,1166939;3,093023;-0,2734866;-0,1031217;3,016324;-0,2668375;-0,1997208;2,982362;0,1553232;0,4348702;3,110258;0,3120039;0,6357756;3,104964;0,3772264;0,8569779;3,100736;0,3578247;0,9576244;3,105514;-0,0846395;0,0601623;3,010134;-0,1037012;-0,06576961;2,572495;-0,1001212;-0,4216569;2,64782;-0,1199333;-0,4942026;2,594456;0,09062649;0,04846404;3,001586;0,03316696;-0,5248766;2,977125;-0,01646268;-0,8785527;2,959985;-0,005621376;-0,9464079;2,912727; 
-0,0214919;0,7206544;3,122644;-0,01121653;0,1210086;3,028142;-0,01257687;0,1805091;3,088104;-0,03019141;0,5335959;3,105108;-0,1935183;0,3917021;3,099038;-0,2372594;0,118667;3,093256;-0,2738765;-0,1028158;3,015656;-0,266874;-0,1990733;2,980579;0,1537576;0,4334695;3,108811;0,3354585;0,6862674;3,106958;0,3412452;0,9370081;3,085383;0,3185571;1,035305;3,104567;-0,09262477;0,05084206;3,017755;-0,09939285;-0,147419;2,60838;-0,124063;-0,4666585;2,638841;-0,1259116;-0,5346908;2,576295;0,07213233;0,0369323;3,006447;0,03384871;-0,5276426;2,97771;-0,01576783;-0,8784276;2,960156;-0,006159195;-0,9434509;2,914995; 
-0,02163977;0,7205107;3,123437;-0,01410174;0,1190186;3,029582;-0,01492118;0,1789253;3,08957;-0,02806662;0,534985;3,105659;-0,1922015;0,3925416;3,099275;-0,2370135;0,1189301;3,09306;-0,2736595;-0,1031889;3,015465;-0,2672712;-0,1992395;2,979742;0,1540084;0,433321;3,108877;0,3300667;0,6345243;3,106479;0,3560533;0,8638435;3,085459;0,3383261;0,9647669;3,092012;-0,09599422;0,0486338;3,020246;-0,0991893;-0,1688092;2,621061;-0,1408209;-0,5253831;2,614161;-0,1417176;-0,5940068;2,545923;0,06877226;0,03543217;3,007241;0,03594535;-0,5235822;2,97996;-0,01200709;-0,877991;2,959152;-0,005859056;-0,9426523;2,913812; 
