;-0,004710556;0,8555766;2,589761;0,01392455;0,2446683;2,578289;0,01194322;0,3041366;2,638281;0,0001908267;0,6612425;2,642286;-0,1881237;0,5838531;2,667563;-0,4395206;0,6062764;2,645818;-0,6533961;0,6806923;2,618684;-0,6556354;0,7604554;2,595579;0,2067389;0,5836847;2,664999;0,5032812;0,6387211;2,67996;0,7485018;0,7505378;2,66336;0,8372599;0,8112607;2,663662;-0,06825982;0,1548555;2,565284;-0,02522405;-0,4667512;2,573598;-0,000982155;-0,8579941;2,584967;-0,03316223;-0,9097627;2,531059;0,1019553;0,1590682;2,55786;0,07104029;-0,4725665;2,586867;0,0693826;-0,841832;2,588369;0,1137474;-0,8962452;2,534272; 
0,2263074;0,8531485;2,569809;0,1408963;0,2451614;2,594331;0,1530294;0,3080777;2,650959;0,2167744;0,6640086;2,635533;0,02857653;0,5643215;2,64166;-0,09657194;0,3405288;2,713087;-0,1710609;0,1095467;2,678559;-0,1958906;0,03255267;2,671827;0,4096713;0,5664241;2,645827;0,6742432;0,6045855;2,582899;0,854574;0,7280455;2,492624;0,960142;0,8239438;2,453852;0,0426894;0,1755463;2,582941;-0,2384162;-0,3253636;2,567389;-0,447747;-0,6871834;2,655489;-0,5069247;-0,7607595;2,623089;0,2087085;0,1472899;2,583511;0,1288796;-0,431536;2,612319;0,09557477;-0,8175264;2,599392;0,1173967;-0,8942711;2,539398; 
0,2264077;0,8532376;2,569833;0,1407904;0,2451151;2,594301;0,1528882;0,3080425;2,650903;0,2160639;0,6638449;2,635228;0,02846;0,5644131;2,641728;-0,09655342;0,3405797;2,713022;-0,1712724;0,1089107;2,678371;-0,1961788;0,03168775;2,671597;0,409558;0,5660879;2,64562;0,6690627;0,6031604;2,583797;0,8537993;0,7276063;2,493113;0,9638134;0,827571;2,452065;0,04256829;0,1753875;2,583004;-0,2383832;-0,3254283;2,567411;-0,4477108;-0,6874766;2,655547;-0,5073978;-0,7608865;2,623629;0,2086662;0,1472908;2,583456;0,1287641;-0,4312876;2,612298;0,09615815;-0,8168318;2,599273;0,1172189;-0,8940892;2,539623; 
0,2263485;0,8530731;2,569828;0,1406976;0,2450209;2,594355;0,1527331;0,3079421;2,650943;0,2154065;0,6635503;2,635128;0,02842272;0,5642443;2,641618;-0,09849976;0,3367741;2,712424;-0,1713746;0,1087919;2,678247;-0,1956662;0,03279778;2,671631;0,4095239;0,5660413;2,645558;0,6677666;0,6029395;2,584019;0,8533256;0,7274826;2,493428;0,9613339;0,8264859;2,452065;0,04248437;0,1751357;2,5832;-0,2382501;-0,3252789;2,567372;-0,4473405;-0,6873296;2,656608;-0,5068033;-0,7606672;2,624024;0,2086509;0,1472812;2,58346;0,1288245;-0,4311734;2,612305;0,09628652;-0,8170285;2,598791;0,1173399;-0,8943769;2,539452; 
0,2258313;0,8530049;2,569267;0,1405709;0,2450335;2,594373;0,1525594;0,3079898;2,650934;0,2147234;0,6635281;2,634813;0,02797912;0,564148;2,641722;-0,09850215;0,3367833;2,712407;-0,171865;0,1074233;2,678037;-0,1963193;0,03096994;2,671357;0,4092245;0,5660243;2,645536;0,6638858;0,6021988;2,584148;0,8522123;0,7272335;2,494179;0,9592149;0,8254368;2,453166;0,04236703;0,1750149;2,583345;-0,2382768;-0,3252804;2,567365;-0,4474875;-0,6875476;2,6564;-0,5068977;-0,7609764;2,623832;0,2085605;0,1473741;2,583444;0,1288072;-0,4309342;2,61216;0,09572748;-0,8162917;2,598347;0,117193;-0,8939481;2,539804; 
0,2256861;0,8528098;2,569248;0,1402428;0,2448067;2,594361;0,1521571;0,3077412;2,650918;0,2136563;0,6633318;2,634873;0,02781601;0,5641521;2,641778;-0,09845299;0,3371969;2,712501;-0,1721114;0,1069317;2,678003;-0,1966642;0,03017665;2,67128;0,408832;0,5658836;2,645318;0,6629552;0,6023764;2,584277;0,8495392;0,7268665;2,495432;0,9582232;0,8259741;2,454027;0,04214859;0,1748077;2,583456;-0,2384756;-0,3260688;2,567553;-0,448164;-0,6900622;2,650964;-0,5088664;-0,7639247;2,621908;0,2083758;0,1472264;2,583318;0,1288074;-0,4307573;2,612026;0,09600733;-0,8162501;2,59813;0,1170477;-0,8939008;2,539827; 
0,2250229;0,8529278;2,569037;0,1397711;0,2447017;2,594571;0,1516245;0,3076901;2,651092;0,2122928;0,663468;2,634787;0,02716124;0,5638433;2,642009;-0,09843753;0,3376003;2,712384;-0,1723815;0,1060588;2,677622;-0,1970295;0,02887832;2,670811;0,4081258;0,5659526;2,645126;0,6611778;0,602497;2,584602;0,8493809;0,7269535;2,495553;0,9589446;0,8284487;2,453844;0,04169385;0,1746292;2,584016;-0,238726;-0,3288503;2,568541;-0,4485524;-0,6935259;2,650263;-0,510021;-0,7669742;2,621755;0,2081469;0,14718;2,583358;0,1288305;-0,4307231;2,611969;0,09636768;-0,8158115;2,598044;0,1164848;-0,8938631;2,53978; 
0,2250575;0,8530943;2,569412;0,1396061;0,2446447;2,594628;0,1513398;0,3077167;2,651096;0,2096015;0,6628461;2,633577;0,02623417;0,5635616;2,642492;-0,09853938;0,3375358;2,712559;-0,1727238;0,1051248;2,67741;-0,1974519;0,02765449;2,670469;0,4074711;0,5663835;2,645045;0,6588285;0,6019477;2,585324;0,8492528;0,7270834;2,495476;0,9587461;0,8286134;2,453956;0,04167337;0,1742955;2,58428;-0,2388442;-0,3301411;2,569173;-0,4472418;-0,6951945;2,653137;-0,5091508;-0,7679024;2,623653;0,2080864;0,1471995;2,583401;0,1289723;-0,4305723;2,611806;0,09637532;-0,8158121;2,597989;0,1162466;-0,8936213;2,539853; 
0,2246628;0,8529695;2,569284;0,139173;0,2443772;2,594802;0,1508527;0,3074695;2,651249;0,2088573;0,6628338;2,633765;0,02592676;0,5632816;2,642619;-0,09857915;0,3375203;2,712615;-0,172571;0,1049233;2,677312;-0,1987176;0,0001235157;2,655789;0,4068232;0,5662698;2,644848;0,6586773;0,6021187;2,585274;0,8488054;0,7273373;2,495622;0,9584102;0,8285578;2,454179;0,04139323;0,1740228;2,584615;-0,2386305;-0,3308487;2,569659;-0,4457682;-0,6955648;2,657761;-0,5070577;-0,7679244;2,626135;0,2078494;0,14707;2,58344;0,1290174;-0,4305314;2,611772;0,0965144;-0,8157982;2,597996;0,1161907;-0,8935915;2,539854; 
0,2247459;0,8532286;2,569351;0,1389277;0,2442493;2,594922;0,1504169;0,3074383;2,651244;0,2062101;0,6627623;2,632968;0,02559832;0,5632189;2,642989;-0,09852608;0,3374241;2,712705;-0,1725333;0,1042013;2,677399;-0,1992788;-0,001374908;2,661055;0,4062882;0,5663702;2,644855;0,6583075;0,6024547;2,585246;0,8485333;0,7274451;2,495511;0,9573368;0,8284888;2,453373;0,04145963;0,173803;2,584975;-0,2383328;-0,3325588;2,570909;-0,4446278;-0,6980656;2,658795;-0,5063051;-0,7700834;2,62709;0,2076951;0,1470114;2,583528;0,1290212;-0,4304942;2,611769;0,09673752;-0,8158106;2,598104;0,1163545;-0,8935728;2,539914; 
0,2243154;0,8532101;2,56901;0,1388225;0,2442202;2,595006;0,1502926;0,3074383;2,651222;0,2058804;0,6627967;2,632903;0,02508119;0,56283;2,643307;-0,09812672;0,3375749;2,713471;-0,1724439;0,1040435;2,677453;-0,1942467;0,02600049;2,669566;0,4061013;0,5664307;2,644919;0,6582608;0,6026781;2,585161;0,855619;0,7345518;2,48972;0,9571013;0,8285836;2,453492;0,04140255;0,1736126;2,585441;-0,2377615;-0,3332158;2,571491;-0,444293;-0,6989328;2,659049;-0,5055476;-0,7713149;2,627299;0,2076761;0,147005;2,583522;0,129149;-0,430496;2,611819;0,09737039;-0,8151439;2,598057;0,1162904;-0,8935397;2,539773; 
0,2237927;0,8536085;2,569571;0,1386123;0,243942;2,595223;0,1501416;0,3072478;2,65134;0,2058357;0,6628845;2,633152;0,0247253;0,5623907;2,643653;-0,09810921;0,337627;2,714075;-0,1722717;0,1037194;2,677719;-0,194352;0,02576195;2,669569;0,405754;0,5661297;2,644894;0,6580085;0,6029338;2,584983;0,8523571;0,7329645;2,49027;0,9563151;0,8305438;2,451751;0,04129978;0,1733898;2,585543;-0,2374024;-0,3367867;2,57397;-0,4448858;-0,7026795;2,659992;-0,5062004;-0,7749637;2,62809;0,2074868;0,1467114;2,583848;0,1293814;-0,4306341;2,612068;0,09755192;-0,8152187;2,598054;0,1173623;-0,8942687;2,540396; 
0,2234987;0,8537179;2,56981;0,138499;0,2438489;2,595408;0,1500605;0,3071811;2,651373;0,2056226;0,6627178;2,63307;0,02440085;0,5623708;2,644112;-0,09797169;0,3377641;2,714623;-0,1721138;0,1029423;2,679056;-0,1945873;0,02512934;2,670429;0,4056239;0,5661112;2,644856;0,6579255;0,6029285;2,584889;0,8488007;0,7307844;2,49105;0,9552339;0,8287503;2,450869;0,04129049;0,1731029;2,586171;-0,2362731;-0,3374708;2,575121;-0,4440973;-0,7033583;2,661258;-0,5051669;-0,7755631;2,628667;0,2074227;0,1466642;2,58392;0,1294876;-0,430662;2,612248;0,09807691;-0,8161991;2,597563;0,1175931;-0,8943276;2,540563; 
0,2232485;0,8536047;2,569971;0,1383786;0,2437708;2,595617;0,1499451;0,3070964;2,651465;0,204901;0,6625307;2,633178;0,02387916;0,562349;2,644825;-0,097702;0,3377111;2,715366;-0,1718343;0,1022744;2,679342;-0,1967021;-0,004309177;2,666532;0,4054636;0,5661838;2,644849;0,6579463;0,6029307;2,584861;0,8473424;0,7301002;2,49126;0,9546915;0,8279861;2,450722;0,04128892;0,172905;2,586507;-0,2353495;-0,3380149;2,575625;-0,4414455;-0,7042618;2,66441;-0,500577;-0,7782402;2,632196;0,2073956;0,1466033;2,584071;0,1295878;-0,4307222;2,612446;0,09850552;-0,8165013;2,597772;0,1173005;-0,8938373;2,541002; 
0,222778;0,8537321;2,569951;0,1382523;0,2438196;2,596022;0,1499992;0,307166;2,651591;0,2049279;0,6625254;2,633164;0,02295543;0,5627971;2,645759;-0,09761051;0,3375187;2,715524;-0,1715989;0,1021482;2,679672;-0,1966922;-0,004338145;2,666545;0,4052324;0,5660905;2,644581;0,6578227;0,6028371;2,584715;0,8461056;0,7295347;2,491596;0,9547011;0,8279445;2,450777;0,04101389;0,1727272;2,587239;-0,2345398;-0,338486;2,576097;-0,4405354;-0,7048795;2,665275;-0,4993218;-0,7785768;2,631772;0,2073507;0,1466829;2,584492;0,1297632;-0,4307725;2,612745;0,09896997;-0,8166471;2,598037;0,1177336;-0,8943395;2,54062; 
0,22257;0,8536625;2,570268;0,1375657;0,24387;2,596596;0,149247;0,3073826;2,651637;0,2022766;0,6615977;2,631658;0,02207193;0,563315;2,646302;-0,1004318;0,3264313;2,717294;-0,1714804;0,1011187;2,68031;-0,1975951;-0,005145155;2,66738;0,4047199;0,565905;2,644014;0,6578189;0,6028474;2,584128;0,8514666;0,7331318;2,488615;0,9805779;0,8357267;2,460484;0,04001807;0,1725057;2,589316;-0,2339419;-0,338711;2,576503;-0,4363338;-0,706376;2,668612;-0,4961618;-0,7779914;2,632473;0,2071632;0,1466644;2,584654;0,1299005;-0,431419;2,613248;0,09924782;-0,8167967;2,59797;0,1179646;-0,8945499;2,540248
