;0,2267366;0,7402894;2,753362;0,2170485;0,1156312;2,708618;0,2216924;0,176613;2,770321;0,2266584;0,5479771;2,785161;0,03995136;0,4397397;2,802508;-0,2031821;0,4526448;2,83691;-0,2347632;0,6728404;2,77094;-0,2262946;0,7565666;2,752767;0,4210908;0,4242445;2,776414;0,6339977;0,4389886;2,737908;0,6532872;0,6601573;2,755371;0,6336036;0,7762868;2,768772;0,1318018;0,03291836;2,69353;0,1283504;-0,4920692;2,742696;0,1419868;-0,8500386;2,711397;0,1291773;-0,9099823;2,637359;0,2987677;0,03078356;2,688801;0,3329095;-0,4772113;2,702374;0,3330108;-0,8451624;2,698042;0,3490176;-0,9040833;2,633413; 
0,4449043;0,74216;2,695761;0,3891451;0,1307575;2,711898;0,4097938;0,1941021;2,7607;0,4458147;0,552294;2,747345;0,2737959;0,4394001;2,785172;0,1900184;0,1791712;2,848614;0,1574374;0,4004757;2,782678;0,1628902;0,4851047;2,762941;0,6223486;0,4205917;2,696492;0,8322748;0,4220098;2,632175;0,8203701;0,6654158;2,598064;0,7980428;0,7655266;2,589955;0,2968433;0,06563044;2,72203;-0,05440786;-0,1758381;2,629118;-0,09111761;-0,5790892;2,616584;-0,1663169;-0,6269295;2,609594;0,4598238;0,03697219;2,682281;0,3951726;-0,4635678;2,66546;0,368922;-0,8397008;2,682938;0,3540443;-0,9068041;2,618186; 
0,4449414;0,7381238;2,698447;0,3893536;0,1303121;2,711785;0,4098759;0,1936885;2,760934;0,4459203;0,5521371;2,747632;0,2736592;0,4390915;2,784979;0,1893842;0,1787639;2,847559;0,1570284;0,4007713;2,78138;0,1624789;0,4853665;2,761651;0,6219416;0,4203114;2,697615;0,831871;0,4220404;2,633521;0,8203652;0,6665176;2,599524;0,7978863;0,76591;2,590682;0,2970017;0,06547218;2,721888;-0,05401054;-0,1757771;2,627735;-0,09074286;-0,5783191;2,615399;-0,1664652;-0,6264384;2,607833;0,4601707;0,0362974;2,682161;0,3949302;-0,4633615;2,665289;0,3693294;-0,8389844;2,682883;0,3543998;-0,9063355;2,617712; 
0,4453831;0,7397556;2,698435;0,3894127;0,1303898;2,711881;0,4098518;0,1937089;2,761366;0,4462478;0,5523591;2,748157;0,2737358;0,438948;2,784847;0,1885286;0,178622;2,846434;0,1562851;0,4009793;2,780138;0,1617334;0,4855408;2,760417;0,6223192;0,420572;2,698865;0,832512;0,4219276;2,636513;0,8202365;0,6680316;2,60231;0,7963086;0,7664019;2,591907;0,2970019;0,06547183;2,721858;-0,05380988;-0,1755273;2,626584;-0,09087621;-0,5766793;2,614206;-0,1633924;-0,6185144;2,606596;0,4603857;0,03676526;2,682641;0,3943829;-0,4617797;2,664699;0,3692955;-0,8387902;2,682706;0,3546402;-0,9061857;2,616906; 
0,4458075;0,7411046;2,698192;0,3879803;0,1311097;2,713064;0,408778;0,194364;2,762235;0,4464945;0,5526063;2,747939;0,2739587;0,439045;2,784374;0,1883933;0,1787716;2,844763;0,1562382;0,4013992;2,778379;0,1616843;0,4859259;2,758667;0,6226639;0,4211495;2,700449;0,8328887;0,4219524;2,638471;0,8201221;0,6688032;2,603787;0,7963412;0,7664358;2,5919;0,2947539;0,0665369;2,722994;-0,05447939;-0,1758453;2,625566;-0,09071907;-0,5757923;2,613106;-0,1684722;-0,6185501;2,605437;0,4581043;0,0379707;2,685597;0,3939264;-0,4610082;2,664549;0,36927;-0,8386077;2,682711;0,3545903;-0,905888;2,616627; 
0,4458566;0,7401084;2,698452;0,3881102;0,1310455;2,713314;0,4087538;0,1942807;2,762602;0,4465214;0,5523096;2,748142;0,273799;0,4388593;2,784201;0,1875447;0,178426;2,843547;0,1553897;0,4010536;2,777169;0,1608335;0,485545;2,757465;0,6220737;0,4208382;2,701447;0,8326281;0,4222071;2,641783;0,8202732;0,6691949;2,604588;0,7963018;0,7666832;2,592464;0,2949036;0,06632552;2,723218;-0,05469397;-0,1749709;2,624646;-0,09048688;-0,5748787;2,611875;-0,1662612;-0,6208643;2,60433;0,4584088;0,03809267;2,685907;0,393454;-0,460723;2,664231;0,3693182;-0,8382934;2,682709;0,3550901;-0,9053055;2,615159; 
0,4458965;0,7405258;2,698238;0,3879448;0,1310843;2,713666;0,4084996;0,1943731;2,76302;0,4464807;0,5524264;2,74827;0,2737472;0,4387037;2,784244;0,1870153;0,1780181;2,842948;0,1545825;0,3998107;2,776853;0,1600242;0,4842691;2,757157;0,6221315;0,4206959;2,702307;0,8328139;0,4218907;2,643677;0,8204221;0,6689299;2,606959;0,7957771;0,766782;2,5924;0,2947654;0,06627555;2,723365;-0,05517438;-0,1739775;2,623768;-0,09040885;-0,574643;2,611639;-0,1581841;-0,6216427;2,603918;0,4583014;0,03825051;2,686527;0,3932464;-0,4608662;2,664108;0,3686423;-0,8386237;2,682868;0,3546503;-0,9058409;2,613599; 
0,4457771;0,7406021;2,698053;0,3879846;0,1310448;2,714329;0,4083281;0,1944441;2,763446;0,4463819;0,5523372;2,748107;0,2736095;0,4388654;2,78435;0,1870223;0,1780614;2,842746;0,1546016;0,399889;2,776643;0,1600412;0,4843152;2,756954;0,6220339;0,4206461;2,703609;0,8327786;0,4221444;2,645599;0,8207812;0,669207;2,608963;0,7960947;0,7668948;2,593029;0,2948204;0,06632714;2,724008;-0,0548968;-0,1738503;2,623741;-0,09038056;-0,5751478;2,611271;-0,159335;-0,6218298;2,603163;0,4585868;0,03793097;2,68786;0,3930326;-0,4610431;2,663979;0,3683034;-0,8391936;2,682506;0,3547689;-0,9057966;2,613533; 
0,4454785;0,7397169;2,698096;0,3882736;0,1310942;2,71448;0,4083822;0,194449;2,763656;0,4464587;0,5520436;2,748436;0,2732323;0,4384976;2,784603;0,1868556;0,1775968;2,842825;0,1545986;0,3999164;2,776565;0,1600364;0,4843144;2,756883;0,6219357;0,4207742;2,705203;0,832518;0,4224085;2,646254;0,8210924;0,6691787;2,611528;0,7960244;0,7674397;2,594702;0,2949996;0,06619063;2,724012;-0,05477211;-0,1736724;2,623497;-0,09040757;-0,5750308;2,610986;-0,158559;-0,6214949;2,602964;0,4593136;0,03822528;2,688069;0,3929441;-0,4609133;2,663708;0,3684418;-0,8385591;2,682753;0,3547645;-0,9058468;2,61264; 
0,4456864;0,7399608;2,697803;0,3874509;0,1315261;2,715543;0,4077104;0,1948691;2,764429;0,4467379;0,5520611;2,748556;0,2732827;0,4383841;2,784747;0,1867757;0,1776817;2,842782;0,1546207;0,4003094;2,776425;0,1600566;0,4846783;2,75675;0,6223531;0,4212744;2,706407;0,8329918;0,4202598;2,648054;0,822367;0,6684093;2,613702;0,7984158;0,7669631;2,603203;0,2937943;0,0666602;2,724876;-0,05535075;-0,1735724;2,623317;-0,09046905;-0,5740689;2,610728;-0,1610292;-0,6188822;2,600538;0,458112;0,03877754;2,689787;0,3927175;-0,4613665;2,663809;0,3678;-0,8396853;2,683062;0,3537926;-0,9065045;2,613002; 
0,4452;0,7368963;2,698405;0,3888774;0,1300957;2,715376;0,4086623;0,1937986;2,764425;0,4468173;0,5518038;2,748874;0,2732476;0,4383743;2,7847;0,1867685;0,1784155;2,842546;0,1546135;0,4010432;2,776195;0,1600476;0,4853843;2,756525;0,6218432;0,4206941;2,706636;0,8325348;0,4212328;2,648869;0,8225903;0,6679822;2,614839;0,7990422;0,7684818;2,604893;0,2956939;0,0658294;2,724484;-0,05448604;-0,172988;2,623552;-0,09626146;-0,5759117;2,609641;-0,1642847;-0,6206743;2,600652;0,4602365;0,03638175;2,689195;0,3923903;-0,4622079;2,664343;0,3674666;-0,8410004;2,682887;0,3539194;-0,9071351;2,612887; 
0,444896;0,7371179;2,697807;0,3893641;0,1302494;2,715623;0,4090463;0,1939015;2,764713;0,4471453;0,5517596;2,749308;0,2732571;0,4381693;2,784748;0,1867305;0,1781285;2,842376;0,1545755;0,4007561;2,776029;0,1600078;0,4850692;2,756366;0,6220716;0,4209701;2,707191;0,8327103;0,4215304;2,64927;0,8228431;0,6684219;2,615221;0,7990717;0,7684711;2,604895;0,2961513;0,0655989;2,724643;-0,05420253;-0,1727163;2,623482;-0,09653195;-0,5753821;2,609357;-0,1640604;-0,6208281;2,600273;0,4609723;0,03703821;2,689415;0,3916439;-0,4605443;2,664659;0,3676161;-0,8403391;2,683016;0,3556539;-0,9052179;2,615293; 
0,4452572;0,7379407;2,697767;0,3894896;0,1304687;2,71593;0,4091689;0,1941036;2,765034;0,4472246;0,5519052;2,749662;0,2733514;0,4381866;2,785043;0,1866913;0,1783775;2,842141;0,1545362;0,4010051;2,7758;0,1599668;0,4852912;2,756143;0,6223343;0,4210069;2,707379;0,8329514;0,4217799;2,649519;0,8230837;0,6680632;2,615575;0,7990976;0,7684538;2,605069;0,2962222;0,06568104;2,724856;-0,05402067;-0,1725799;2,623495;-0,09665301;-0,5754418;2,609319;-0,1988096;-0,6157659;2,594221;0,461128;0,03728665;2,689648;0,3915969;-0,4610511;2,664953;0,3676196;-0,8400439;2,682901;0,3554828;-0,9057847;2,614983; 
0,4453792;0,7385651;2,697217;0,3886408;0,131076;2,71677;0,4085643;0,1946261;2,765565;0,4472949;0,5519529;2,749656;0,2732675;0,4382266;2,785184;0,1873135;0,1800823;2,842087;0,1551585;0,40271;2,775751;0,1605873;0,4869695;2,7561;0,6226063;0,4211347;2,707681;0,8331734;0,4217976;2,649714;0,8233514;0,6683233;2,616003;0,7998101;0,7690083;2,605806;0,2946698;0,06635189;2,726079;-0,05454916;-0,1726547;2,623094;-0,09657576;-0,575374;2,609775;-0,166442;-0,6169496;2,599772;0,4601904;0,03770045;2,690504;0,3914061;-0,4609115;2,665071;0,3679082;-0,8399577;2,682706;0,3557031;-0,9059958;2,615391
