;0,04272387;0,6786088;3,29684;0,04853604;0,1002489;3,219619;0,05202595;0,1552034;3,279234;0,04235083;0,4991152;3,305498;-0,1145115;0,402019;3,31316;-0,2195002;0,6539761;3,16381;-0,2433284;0,8703244;3,08087;-0,2512711;0,9424406;3,05772;0,2046111;0,4473738;3,293265;0,3655527;0,6358213;3,182367;0,3844635;0,9205882;3,078591;0,389271;1,014687;3,046736;-0,02438399;0,01969041;3,208627;-0,06544723;-0,5023596;3,241241;-0,0636376;-0,8869575;3,226555;-0,07477126;-0,9557016;3,165531;0,1245936;0,03256231;3,195351;0,1735748;-0,4846767;3,188478;0,1787387;-0,8475816;3,186641;0,2045834;-0,9421841;3,135938; 
0,1402982;0,6716179;3,263874;0,1246363;0,0992808;3,251022;0,1360464;0,1570763;3,304284;0,1487305;0,4949428;3,297745;-0,02253798;0,400305;3,325742;-0,06319438;0,1267391;3,312661;-0,112119;-0,07264741;3,215845;-0,1170852;-0,1526842;3,162409;0,305554;0,4384607;3,27933;0,4506259;0,634041;3,155217;0,4615558;0,9100758;3,025293;0,4597385;0,9852377;2,994519;0,0449448;0,02968496;3,253092;-0,01408619;-0,2860269;2,947451;-0,05695415;-0,6661661;3,107939;-0,09657431;-0,7404959;3,100545;0,1969786;0,02067687;3,227985;0,2171258;-0,479349;3,185774;0,1888512;-0,8483588;3,182635;0,1984567;-0,9412346;3,131207; 
0,1422248;0,6751072;3,267614;0,1286418;0,100369;3,251398;0,13965;0,1583246;3,304562;0,150716;0,4954694;3,297216;-0,01851917;0,4007919;3,324131;-0,0583742;0,126983;3,317767;-0,1089671;-0,07188393;3,220528;-0,1158547;-0,1525921;3,16834;0,3077829;0,4385496;3,279307;0,4546007;0,6302943;3,149895;0,4660965;0,9063499;3,019839;0,4644917;0,9858311;2,990694;0,0485551;0,03217322;3,252965;-0,01498518;-0,2815066;2,946488;-0,0499577;-0,5778343;3,148199;-0,07392821;-0,6495124;3,110455;0,2019349;0,02112985;3,229016;0,2185049;-0,4783168;3,188151;0,1890161;-0,8485969;3,183177;0,1983735;-0,9412211;3,131584; 
0,1442001;0,6748393;3,266706;0,130858;0,1019092;3,251913;0,1418496;0,1598626;3,304685;0,1538016;0,4948835;3,294524;-0,01521739;0,4015799;3,323663;-0,05552181;0,1299558;3,320649;-0,1045518;-0,0738191;3,234729;-0,1130053;-0,157007;3,186896;0,3117043;0,439559;3,278668;0,4636036;0,6393862;3,134892;0,4712105;0,9173726;3,00878;0,4720528;0,9871768;2,98321;0,05034491;0,03462716;3,254457;-0,01222481;-0,2566919;2,925992;-0,04674889;-0,534039;3,152337;-0,06623359;-0,606212;3,113098;0,2040067;0,0218255;3,229296;0,219042;-0,4774288;3,188405;0,1895983;-0,8482316;3,183142;0,1970122;-0,9394971;3,131669; 
0,1471779;0,676087;3,26659;0,1347453;0,1047904;3,252651;0,1461368;0,1632975;3,30481;0,1596491;0,4975585;3,290383;-0,01437945;0,4022079;3,323425;-0,0530882;0,1313105;3,324782;-0,1010329;-0,07351033;3,240807;-0,1143333;-0,1599698;3,200501;0,3144669;0,4404994;3,277308;0,4640581;0,6389026;3,133754;0,472654;0,9164901;3,006383;0,4752666;0,9875042;2,978461;0,05277412;0,037248;3,256116;-0,02026716;-0,2518484;2,928357;-0,04450343;-0,5222543;3,154145;-0,07830209;-0,5742679;3,097027;0,2082344;0,02376854;3,230028;0,219144;-0,4771016;3,188425;0,1897942;-0,8479951;3,183369;0,1968984;-0,9395384;3,131581; 
0,1486847;0,6769958;3,267704;0,1376977;0,1057188;3,253275;0,1493783;0,1643358;3,305243;0,164097;0,4979646;3,289769;-0,009183512;0,4028873;3,32221;-0,04977871;0,132462;3,328988;-0,1009631;-0,07012959;3,240707;-0,1180246;-0,1376601;3,21571;0,3191956;0,4393846;3,276367;0,4648291;0,638733;3,13203;0,475033;0,9148552;3,000971;0,4773419;0,9879982;2,970283;0,05490084;0,03890228;3,256613;-0,01315316;-0,2681453;2,945608;-0,0444259;-0,4935448;3,162324;-0,07009186;-0,5613417;3,11939;0,2114888;0,0241526;3,231209;0,2195033;-0,4678669;3,187744;0,1899645;-0,8479599;3,183298;0,1965855;-0,9390293;3,131586; 
0,1578912;0,6795915;3,268941;0,1408084;0,1070125;3,253734;0,1524046;0,1652441;3,305668;0,1674873;0,4970544;3,290314;-0,00108145;0,4047439;3,320887;-0,04185943;0,1397759;3,338621;-0,09657888;-0,06132387;3,24862;-0,08479561;-0,07976025;3,259666;0,3234716;0,4386725;3,276321;0,4656376;0,6388892;3,130491;0,4760869;0,9146929;2,998452;0,4778925;0,9884078;2,968741;0,05741612;0,04124094;3,256524;-0,008538961;-0,2818358;2,962853;-0,04378158;-0,4914289;3,164421;-0,0712036;-0,5590355;3,122438;0,2151994;0,02544708;3,23228;0,2204837;-0,4692664;3,186449;0,1894667;-0,84793;3,181064;0,1963852;-0,9395438;3,129965; 
0,1623922;0,6797718;3,271801;0,1444482;0,1089321;3,254823;0,1556911;0,1667907;3,306475;0,1686649;0,4968094;3,290472;0,001095238;0,4048744;3,321623;-0,03789566;0,1438823;3,342281;-0,09137675;-0,0579017;3,253038;-0,08217193;-0,08055358;3,26156;0,3272896;0,43896;3,275942;0,4671809;0,6394551;3,128425;0,4766673;0,9144081;2,994151;0,4790608;0,9866799;2,964593;0,06056888;0,04319383;3,259049;-0,00893677;-0,277836;2,964241;-0,04357633;-0,4900347;3,164897;-0,06962778;-0,5589027;3,124277;0,2199473;0,02714832;3,232072;0,2222223;-0,4610113;3,182491;0,1900088;-0,8478552;3,180552;0,1964317;-0,9400714;3,127393; 
0,1675464;0,6828248;3,274198;0,1471294;0,1090407;3,25506;0,15896;0,1669729;3,306462;0,171742;0,4966928;3,290144;0,006358615;0,4068157;3,323675;-0,03526355;0,1458948;3,345068;-0,08320674;-0,05783023;3,257164;-0,07511601;-0,07702696;3,266271;0,3301345;0,4394993;3,27524;0,4710225;0,6356684;3,128115;0,4776667;0,910693;2,993634;0,4790364;0,986062;2,959538;0,06401945;0,04394226;3,259523;-0,01279201;-0,2703168;2,959518;-0,04428551;-0,4886421;3,16689;-0,07015935;-0,5572208;3,125822;0,2216427;0,02720195;3,232311;0,2245217;-0,4634268;3,181097;0,1906857;-0,8475372;3,180184;0,1964288;-0,940074;3,127352; 
0,1728743;0,6813806;3,268847;0,1526441;0,1095611;3,255778;0,1659066;0,1676697;3,307078;0,1871327;0,4993047;3,2908;0,01063608;0,4093034;3,324915;-0,03112506;0,1518798;3,348041;-0,07598557;-0,05388764;3,263716;-0,06915087;-0,07372072;3,271435;0,3388856;0,436218;3,27474;0,4742593;0,6409787;3,121695;0,4785129;0,916476;2,987964;0,4792143;0,9860452;2,956555;0,06740687;0,04462362;3,260439;-0,008221947;-0,2743757;2,965817;-0,04703503;-0,4893894;3,169065;-0,07080105;-0,5571187;3,12552;0,2264055;0,02691106;3,232664;0,230889;-0,4670416;3,179632;0,1917831;-0,8485451;3,178936;0,1966223;-0,9397239;3,127715; 
0,1802722;0,6843919;3,273569;0,1558714;0,1101587;3,256237;0,1683814;0,1684647;3,307359;0,1878527;0,4997162;3,290771;0,01644784;0,4094829;3,322339;-0,02681304;0,1538039;3,348701;-0,07158478;-0,05288608;3,266807;-0,06531946;-0,0742557;3,273268;0,3423581;0,4368309;3,275052;0,477843;0,6448971;3,116554;0,4791653;0,9204681;2,985485;0,4793344;0,9860675;2,95653;0,07148598;0,04558146;3,260849;-0,008142509;-0,2586654;2,951777;-0,04942913;-0,4907769;3,17148;-0,07135905;-0,5583509;3,126849;0,2295507;0,0276226;3,233505;0,234978;-0,4670389;3,18031;0,1941518;-0,8499197;3,180388;0,1977209;-0,9408299;3,128735
