;0,1829087;0,7190144;2,331349;0,2037767;0,1447786;2,273301;0,2079627;0,1962479;2,333147;0,2037546;0,5250817;2,34717;-0,00446295;0,4334418;2,370386;-0,2028933;0,5090106;2,36509;-0,04741763;0,6536506;2,32906;0,001623999;0,6946435;2,328655;0,4123772;0,4621201;2,342856;0,6107945;0,5371014;2,339576;0,4370778;0,6611984;2,326395;0,3636332;0,6971632;2,35452;0,1106246;0,0484359;2,261105;0,1061531;-0,4672254;2,277179;0,09561878;-0,8170792;2,285113;0,06416272;-0,8836568;2,239167;0,2966385;0,05671304;2,242834;0,3274864;-0,4619536;2,266166;0,341219;-0,8101918;2,26676;0,3673567;-0,8664125;2,213098; 
0,312238;0,7280799;2,274659;0,3051074;0,1275228;2,218454;0,3179041;0,1849909;2,276451;0,3368483;0,5311825;2,280733;0,163837;0,4145472;2,308532;0,1338289;0,2289847;2,410816;0,1918426;0,4213988;2,292234;0,2408283;0,4623641;2,291821;0,5216936;0,4471682;2,260294;0,6990928;0,5595348;2,21752;0,5362143;0,6886517;2,236675;0,4628393;0,7245824;2,264774;0,2254121;0,05689596;2,221807;-0,1008174;-0,1962121;2,124203;0,08894834;-0,5244799;2,16238;0,1830679;-0,5494707;2,182701;0,3724189;0,03501098;2,184239;0,3044508;-0,4803346;2,226701;0,3000269;-0,7975839;2,22277;0,3048092;-0,8536399;2,175429; 
0,3128045;0,7284118;2,274536;0,3052039;0,1272165;2,218485;0,3180377;0,1847912;2,276414;0,3368565;0,531235;2,280621;0,1640407;0,4144845;2,308613;0,1336035;0,227778;2,410344;0,1916176;0,4201995;2,291761;0,240601;0,4611629;2,291348;0,5218846;0,4470564;2,259983;0,6990305;0,5593804;2,216375;0,5283948;0,6826485;2,238208;0,4550231;0,7185775;2,266305;0,2253622;0,0561167;2,222538;-0,1012001;-0,196636;2,126485;0,08859061;-0,5252888;2,163073;0,1828263;-0,5500278;2,183145;0,3726707;0,03481074;2,184008;0,3039978;-0,4812833;2,22706;0,3004836;-0,7971322;2,22297;0,3048992;-0,8533965;2,175845; 
0,3126877;0,7283224;2,274314;0,3052994;0,1268924;2,218531;0,3181707;0,1845716;2,276373;0,3369811;0,5312099;2,280234;0,1643377;0,4142585;2,308607;0,1335292;0,2271979;2,409726;0,1915431;0,4196221;2,291143;0,2405245;0,4605837;2,29073;0,5220932;0,4469182;2,259774;0,6992185;0,5588817;2,215073;0,529389;0,6790169;2,238476;0,4560205;0,7149444;2,266572;0,2254205;0,05546484;2,223184;-0,1012796;-0,1970133;2,12824;0,08863305;-0,5259392;2,163474;0,1830539;-0,5501106;2,183355;0,3727731;0,03462122;2,183894;0,3037989;-0,4799096;2,227254;0,3009495;-0,7959852;2,223157;0,3050245;-0,852722;2,176574; 
0,3126432;0,7284404;2,274277;0,3053411;0,1268431;2,218539;0,3183117;0,1845554;2,276338;0,3373758;0,5313465;2,279933;0,164593;0,4138714;2,308554;0,1330338;0,2273068;2,408724;0,1910464;0,419734;2,290138;0,2400256;0,4606938;2,289726;0,5221232;0,4468788;2,259319;0,6991984;0,5587534;2,214784;0,5345737;0,685504;2,232445;0,4612085;0,7214299;2,26054;0,225423;0,05531412;2,22381;-0,1013682;-0,1969487;2,129916;0,007195026;-0,4558377;2,147882;0,1049883;-0,4571775;2,166022;0,37283;0,03455777;2,183647;0,30391;-0,4810843;2,228225;0,3009482;-0,7960023;2,223166;0,3051528;-0,8528231;2,176699; 
0,3125755;0,728332;2,273741;0,3054823;0,1258484;2,218778;0,3184195;0,1839159;2,276399;0,337009;0,531293;2,279502;0,1648594;0,413148;2,30838;0,1333617;0,2254297;2,407262;0,1913744;0,417861;2,288675;0,2403513;0,458819;2,288262;0,522001;0,446896;2,258901;0,6992851;0,5582426;2,214334;0,5348899;0,6850095;2,232446;0,461528;0,7209337;2,26054;0,2264432;0,05332912;2,225433;-0,1018357;-0,1964085;2,131304;0,006318882;-0,4555905;2,147586;0,1040824;-0,4571054;2,165857;0,3727285;0,03400329;2,183465;0,3037088;-0,4813357;2,228474;0,3009719;-0,7959661;2,223177;0,3053479;-0,8528967;2,176864; 
0,3126094;0,728087;2,272981;0,3059233;0,1256562;2,218721;0,3188201;0,1837888;2,276271;0,3370362;0,5313351;2,279179;0,1651562;0,413161;2,308292;0,1332025;0,2251831;2,407235;0,1912156;0,4176159;2,288651;0,2401903;0,458572;2,288238;0,5221661;0,4470087;2,258565;0,7004781;0,5566211;2,213433;0,5366232;0,6837558;2,232185;0,4632646;0,7196784;2,260278;0,2266682;0,0532007;2,225526;-0,1018175;-0,1963903;2,133049;0,005925506;-0,4558008;2,147967;0,1037287;-0,4569336;2,166039;0,3737093;0,03390536;2,183156;0,3035084;-0,4829352;2,229284;0,3009783;-0,7959696;2,223162;0,305403;-0,853045;2,177035; 
0,3123724;0,7278651;2,272834;0,3058483;0,1254063;2,218794;0,3189619;0,1836042;2,276266;0,3370925;0,5313432;2,279125;0,1649721;0,4138913;2,309336;0,1329752;0,2243969;2,40715;0,1909885;0,416832;2,288567;0,2399614;0,4577865;2,288154;0,5220623;0,4467786;2,25818;0,701045;0,5561675;2,213006;0,5347456;0,6808936;2,227816;0,4613898;0,7168149;2,255907;0,2264118;0,05312155;2,22583;-0,1023161;-0,1960975;2,134556;0,005166389;-0,4555807;2,148651;0,1030083;-0,4560899;2,166524;0,3735808;0,03333541;2,183012;0,3034784;-0,484489;2,229884;0,3009822;-0,7959954;2,22315;0,3055465;-0,8531608;2,177152; 
0,3123484;0,72793;2,272764;0,3058974;0,1253406;2,218782;0,3190527;0,1835955;2,276222;0,3373045;0,5316169;2,278812;0,1652424;0,4135357;2,309156;0,1327099;0,2241875;2,40635;0,190723;0,4166233;2,287766;0,2396937;0,457576;2,287354;0,5219568;0,446422;2,257839;0,7010357;0,5569887;2,212571;0,5358769;0,6817084;2,232782;0,4625243;0,7176281;2,260872;0,2264159;0,05303528;2,225926;-0,1024312;-0,1960699;2,136139;0,005491883;-0,455358;2,149268;0,103355;-0,4564002;2,166989;0,3736335;0,03336373;2,182946;0,3032106;-0,4826749;2,229755;0,3010778;-0,7957273;2,223127;0,305365;-0,853067;2,177322; 
0,3119057;0,7278376;2,272455;0,3059002;0,125285;2,218764;0,319084;0,1835714;2,276169;0,3373827;0,5316454;2,278488;0,1654263;0,4134172;2,309018;0,1324049;0,2237424;2,40496;0,1904178;0,4161791;2,286377;0,2393864;0,4571301;2,285965;0,5219482;0,4464198;2,257618;0,7007083;0,5574354;2,21238;0,5350038;0,6810451;2,233378;0,4616545;0,7169632;2,261467;0,2263631;0,05291769;2,22612;-0,102775;-0,1957112;2,137417;0,005654655;-0,4547658;2,149628;0,1035289;-0,4562348;2,167246;0,3736216;0,03334539;2,182792;0,3030976;-0,4841587;2,230286;0,3007223;-0,7961056;2,223414;0,3055395;-0,8531457;2,177292; 
0,3120599;0,7278122;2,272398;0,3059006;0,12528;2,218752;0,3191754;0,183564;2,276127;0,3374098;0,5315958;2,278366;0,1652045;0,4135953;2,309524;0,1317289;0,2225291;2,403909;0,189742;0,4149671;2,285328;0,2387085;0,4559163;2,284916;0,5220872;0,4463704;2,257386;0,7006844;0,5575002;2,212266;0,4940844;0,6976309;2,259114;0,4207382;0,7335474;2,287201;0,2263143;0,05295944;2,226121;-0,102839;-0,1955206;2,138408;0,005536146;-0,454521;2,150049;0,1034271;-0,4562235;2,16754;0,3736351;0,03322836;2,182759;0,3030513;-0,4841194;2,230371;0,3007542;-0,796171;2,223379;0,3055319;-0,8532273;2,177275; 
0,312362;0,7275883;2,272383;0,3065874;0,1243698;2,21878;0,3197342;0,1828561;2,276074;0,337467;0,5315205;2,278229;0,1653514;0,413145;2,309265;0,1313605;0,2224612;2,40379;0,1893736;0,4148996;2,28521;0,238338;0,4558471;2,284797;0,5223482;0,4460929;2,257206;0,700715;0,5575556;2,212136;0,5381001;0,6872028;2,223211;0,464757;0,7231178;2,251297;0,227408;0,0516025;2,226372;-0,1028096;-0,1951422;2,139141;0,08357765;-0,5248576;2,172373;0,1776301;-0,5513215;2,190944;0,3741279;0,03262478;2,182667;0,3028768;-0,4849669;2,230569;0,3008216;-0,7960696;2,223376;0,3057431;-0,8531249;2,177288
